time_step,unit_id,node_id
0,0,179
0,1,234
0,2,221
1,0,199
1,1,0
1,2,193
2,0,200
2,1,234
2,2,165
3,0,201
3,1,0
3,2,192
4,0,188
4,1,126
4,2,191
5,0,201
5,1,125
5,2,96
6,0,226
6,1,126
6,2,94
7,0,178
7,1,125
7,2,97
8,0,226
8,1,21
8,2,70
9,0,178
9,1,125
9,2,97
10,0,226
10,1,21
10,2,70
11,0,178
11,1,125
11,2,97
12,0,226
12,1,126
12,2,70
13,0,178
13,1,125
13,2,183
14,0,226
14,1,21
14,2,72
15,0,178
15,1,19
15,2,75
16,0,226
16,1,126
16,2,72
17,0,178
17,1,0
17,2,75
18,0,177
18,1,48
18,2,72
19,0,178
19,1,0
19,2,75
20,0,177
20,1,234
20,2,77
21,0,178
21,1,0
21,2,186
22,0,177
22,1,234
22,2,77
23,0,178
23,1,0
23,2,150
24,0,177
24,1,48
24,2,77
25,0,178
25,1,46
25,2,150
26,0,177
26,1,47
26,2,215
27,0,178
27,1,46
27,2,150
28,0,177
28,1,47
28,2,147
29,0,178
29,1,46
29,2,150
30,0,177
30,1,47
30,2,153
31,0,178
31,1,52
31,2,150
32,0,226
32,1,47
32,2,215
33,0,178
33,1,46
33,2,144
34,0,177
34,1,47
34,2,143
35,0,178
35,1,52
35,2,144
36,0,226
36,1,47
36,2,147
37,0,178
37,1,52
37,2,150
38,0,226
38,1,47
38,2,77
39,0,178
39,1,46
39,2,150
40,0,226
40,1,47
40,2,147
41,0,178
41,1,46
41,2,149
42,0,226
42,1,47
42,2,147
43,0,178
43,1,46
43,2,144
44,0,177
44,1,47
44,2,143
45,0,178
45,1,46
45,2,144
46,0,226
46,1,47
46,2,147
47,0,178
47,1,46
47,2,149
48,0,177
48,1,47
48,2,153
49,0,178
49,1,52
49,2,186
50,0,226
50,1,47
50,2,153
51,0,178
51,1,52
51,2,150
52,0,226
52,1,47
52,2,153
53,0,178
53,1,46
53,2,150
54,0,177
54,1,47
54,2,77
55,0,178
55,1,52
55,2,150
56,0,226
56,1,47
56,2,77
57,0,178
57,1,46
57,2,75
58,0,177
58,1,47
58,2,72
59,0,178
59,1,46
59,2,74
60,0,226
60,1,47
60,2,72
61,0,178
61,1,52
61,2,75
62,0,177
62,1,47
62,2,76
63,0,178
63,1,46
63,2,219
64,0,177
64,1,47
64,2,76
65,0,178
65,1,52
65,2,219
66,0,177
66,1,47
66,2,76
67,0,178
67,1,46
67,2,75
68,0,226
68,1,47
68,2,77
69,0,178
69,1,46
69,2,150
70,0,177
70,1,47
70,2,153
71,0,178
71,1,46
71,2,154
72,0,177
72,1,47
72,2,153
73,0,178
73,1,46
73,2,154
74,0,226
74,1,47
74,2,153
75,0,178
75,1,52
75,2,150
76,0,226
76,1,47
76,2,77
77,0,178
77,1,52
77,2,75
78,0,177
78,1,47
78,2,72
79,0,178
79,1,46
79,2,74
80,0,177
80,1,47
80,2,215
81,0,178
81,1,46
81,2,150
82,0,177
82,1,47
82,2,77
83,0,178
83,1,46
83,2,74
84,0,177
84,1,47
84,2,77
85,0,178
85,1,52
85,2,150
86,0,177
86,1,47
86,2,147
87,0,178
87,1,46
87,2,151
88,0,177
88,1,47
88,2,148
89,0,178
89,1,52
89,2,214
90,0,226
90,1,47
90,2,33
91,0,178
91,1,52
91,2,214
92,0,226
92,1,47
92,2,148
93,0,178
93,1,52
93,2,151
94,0,226
94,1,47
94,2,148
95,0,178
95,1,46
95,2,151
96,0,177
96,1,47
96,2,147
97,0,178
97,1,52
97,2,150
98,0,177
98,1,47
98,2,215
99,0,178
99,1,46
99,2,74
100,0,226
100,1,47
100,2,77
101,0,178
101,1,52
101,2,75
102,0,177
102,1,47
102,2,77
103,0,178
103,1,46
103,2,150
104,0,177
104,1,47
104,2,215
105,0,178
105,1,46
105,2,150
106,0,177
106,1,47
106,2,147
107,0,178
107,1,52
107,2,151
108,0,177
108,1,47
108,2,8
109,0,178
109,1,46
109,2,214
110,0,226
110,1,47
110,2,8
111,0,178
111,1,52
111,2,6
112,0,226
112,1,47
112,2,9
113,0,178
113,1,46
113,2,124
114,0,177
114,1,47
114,2,9
115,0,178
115,1,46
115,2,124
116,0,177
116,1,47
116,2,9
117,0,178
117,1,52
117,2,124
118,0,177
118,1,47
118,2,9
119,0,178
119,1,52
119,2,6
120,0,177
120,1,47
120,2,9
