time_step,unit_id,node_id
0,0,179
0,1,234
0,2,221
0,3,13
0,4,60
1,0,177
1,1,0
1,2,194
1,3,190
1,4,63
2,0,178
2,1,234
2,2,221
2,3,17
2,4,66
3,0,226
3,1,0
3,2,194
3,3,190
3,4,70
4,0,178
4,1,234
4,2,221
4,3,14
4,4,183
5,0,226
5,1,0
5,2,194
5,3,190
5,4,70
6,0,178
6,1,234
6,2,221
6,3,14
6,4,97
7,0,177
7,1,0
7,2,194
7,3,155
7,4,94
8,0,178
8,1,126
8,2,221
8,3,152
8,4,97
9,0,177
9,1,125
9,2,194
9,3,155
9,4,70
10,0,178
10,1,126
10,2,99
10,3,14
10,4,97
11,0,226
11,1,125
11,2,194
11,3,11
11,4,94
12,0,178
12,1,126
12,2,99
12,3,8
12,4,97
13,0,177
13,1,125
13,2,194
13,3,6
13,4,94
14,0,178
14,1,127
14,2,99
14,3,9
14,4,97
15,0,226
15,1,134
15,2,194
15,3,124
15,4,70
16,0,178
16,1,135
16,2,99
16,3,9
16,4,97
17,0,177
17,1,134
17,2,95
17,3,124
17,4,70
18,0,178
18,1,135
18,2,94
18,3,9
18,4,183
19,0,177
19,1,134
19,2,97
19,3,124
19,4,72
20,0,178
20,1,135
20,2,94
20,3,9
20,4,183
21,0,226
21,1,134
21,2,97
21,3,124
21,4,70
22,0,178
22,1,135
22,2,70
22,3,9
22,4,183
23,0,177
23,1,134
23,2,183
23,3,6
23,4,76
24,0,178
24,1,127
24,2,76
24,3,9
24,4,219
25,0,226
25,1,134
25,2,219
25,3,124
25,4,76
26,0,178
26,1,135
26,2,76
26,3,9
26,4,75
27,0,226
27,1,134
27,2,183
27,3,6
27,4,76
28,0,178
28,1,135
28,2,76
28,3,8
28,4,75
29,0,226
29,1,134
29,2,75
29,3,151
29,4,76
30,0,178
30,1,135
30,2,78
30,3,147
30,4,219
31,0,177
31,1,134
31,2,75
31,3,150
31,4,76
32,0,178
32,1,135
32,2,76
32,3,77
32,4,183
33,0,226
33,1,134
33,2,219
33,3,150
33,4,76
34,0,178
34,1,135
34,2,76
34,3,147
34,4,183
35,0,177
35,1,134
35,2,75
35,3,151
35,4,76
36,0,178
36,1,135
36,2,78
36,3,147
36,4,183
37,0,177
37,1,134
37,2,186
37,3,151
37,4,76
38,0,178
38,1,135
38,2,78
38,3,147
38,4,75
39,0,177
39,1,134
39,2,75
39,3,149
39,4,76
40,0,178
40,1,135
40,2,77
40,3,185
40,4,75
41,0,177
41,1,134
41,2,75
41,3,151
41,4,72
42,0,178
42,1,135
42,2,77
42,3,147
42,4,75
43,0,226
43,1,134
43,2,150
43,3,151
43,4,72
44,0,178
44,1,135
44,2,77
44,3,147
44,4,75
45,0,226
45,1,134
45,2,75
45,3,149
45,4,77
46,0,178
46,1,135
46,2,77
46,3,153
46,4,150
47,0,177
47,1,134
47,2,75
47,3,186
47,4,77
48,0,178
48,1,135
48,2,77
48,3,77
48,4,186
49,0,226
49,1,134
49,2,75
49,3,74
49,4,153
50,0,178
50,1,135
50,2,77
50,3,73
50,4,150
51,0,177
51,1,134
51,2,150
51,3,74
51,4,153
52,0,178
52,1,135
52,2,147
52,3,77
52,4,150
53,0,177
53,1,134
53,2,151
53,3,150
53,4,147
54,0,178
54,1,135
54,2,147
54,3,215
54,4,150
55,0,226
55,1,134
55,2,150
55,3,144
55,4,77
56,0,178
56,1,127
56,2,147
56,3,147
56,4,150
57,0,177
57,1,134
57,2,144
57,3,151
57,4,77
58,0,178
58,1,127
58,2,147
58,3,147
58,4,150
59,0,177
59,1,125
59,2,149
59,3,151
59,4,147
60,0,178
60,1,126
60,2,153
60,3,148
60,4,149
61,0,226
61,1,125
61,2,150
61,3,214
61,4,147
62,0,178
62,1,126
62,2,215
62,3,33
62,4,151
63,0,226
63,1,125
63,2,74
63,3,214
63,4,147
64,0,178
64,1,126
64,2,77
64,3,148
64,4,144
65,0,177
65,1,125
65,2,74
65,3,214
65,4,143
66,0,178
66,1,126
66,2,77
66,3,8
66,4,144
67,0,177
67,1,125
67,2,74
67,3,151
67,4,147
68,0,178
68,1,126
68,2,215
68,3,147
68,4,151
69,0,177
69,1,125
69,2,150
69,3,151
69,4,147
70,0,178
70,1,126
70,2,77
70,3,147
70,4,149
71,0,226
71,1,125
71,2,75
71,3,150
71,4,147
72,0,178
72,1,126
72,2,77
72,3,77
72,4,149
73,0,177
73,1,125
73,2,75
73,3,75
73,4,153
74,0,178
74,1,127
74,2,77
74,3,78
74,4,149
75,0,226
75,1,134
75,2,150
75,3,79
75,4,152
76,0,178
76,1,135
76,2,153
76,3,81
76,4,110
77,0,226
77,1,134
77,2,149
77,3,79
77,4,152
78,0,178
78,1,135
78,2,152
78,3,81
78,4,110
79,0,177
79,1,134
79,2,110
79,3,86
79,4,113
80,0,178
80,1,135
80,2,113
80,3,81
80,4,83
81,0,177
81,1,134
81,2,83
81,3,86
81,4,113
82,0,178
82,1,135
82,2,113
82,3,81
82,4,154
83,0,177
83,1,134
83,2,154
83,3,79
83,4,152
84,0,178
84,1,135
84,2,113
84,3,78
84,4,149
85,0,226
85,1,134
85,2,83
85,3,75
85,4,147
86,0,178
86,1,127
86,2,113
86,3,76
86,4,151
87,0,177
87,1,134
87,2,83
87,3,219
87,4,147
88,0,178
88,1,135
88,2,113
88,3,76
88,4,150
89,0,177
89,1,134
89,2,110
89,3,183
89,4,77
90,0,178
90,1,135
90,2,152
90,3,76
90,4,150
91,0,177
91,1,134
91,2,110
91,3,183
91,4,153
92,0,178
92,1,135
92,2,113
92,3,76
92,4,149
93,0,177
93,1,134
93,2,83
93,3,219
93,4,152
94,0,178
94,1,135
94,2,113
94,3,76
94,4,110
95,0,177
95,1,134
95,2,110
95,3,219
95,4,152
96,0,178
96,1,135
96,2,152
96,3,76
96,4,110
97,0,177
97,1,134
97,2,155
97,3,75
97,4,113
98,0,178
98,1,135
98,2,152
98,3,78
98,4,83
99,0,177
99,1,134
99,2,149
99,3,75
99,4,113
100,0,178
100,1,135
100,2,147
100,3,77
100,4,83
101,0,177
101,1,134
101,2,150
101,3,150
101,4,113
102,0,178
102,1,127
102,2,215
102,3,77
102,4,83
103,0,177
103,1,134
103,2,144
103,3,150
103,4,113
104,0,178
104,1,135
104,2,143
104,3,147
104,4,110
105,0,226
105,1,134
105,2,144
105,3,144
105,4,113
106,0,178
106,1,135
106,2,148
106,3,215
106,4,83
107,0,177
107,1,134
107,2,151
107,3,150
107,4,113
108,0,178
108,1,135
108,2,147
108,3,147
108,4,110
109,0,177
109,1,134
109,2,150
109,3,150
109,4,152
110,0,178
110,1,135
110,2,147
110,3,147
110,4,110
111,0,226
111,1,134
111,2,150
111,3,150
111,4,152
112,0,178
112,1,135
112,2,77
112,3,147
112,4,149
113,0,226
113,1,134
113,2,150
113,3,149
113,4,147
114,0,178
114,1,135
114,2,153
114,3,153
114,4,149
115,0,226
115,1,134
115,2,150
115,3,150
115,4,153
116,0,178
116,1,135
116,2,153
116,3,77
116,4,149
117,0,177
117,1,134
117,2,150
117,3,74
117,4,147
118,0,178
118,1,135
118,2,215
118,3,72
118,4,149
119,0,226
119,1,134
119,2,150
119,3,75
119,4,147
120,0,178
120,1,135
120,2,77
120,3,77
120,4,149
