time_step,unit_id,node_id
0,0,172
0,1,49
0,2,2
1,0,173
1,1,53
1,2,3
2,0,172
2,1,49
2,2,210
3,0,171
3,1,53
3,2,211
4,0,41
4,1,52
4,2,211
5,0,40
5,1,57
5,2,210
6,0,41
6,1,52
6,2,211
7,0,174
7,1,57
7,2,211
8,0,173
8,1,55
8,2,211
9,0,174
9,1,56
9,2,210
10,0,173
10,1,201
10,2,192
11,0,174
11,1,56
11,2,8
12,0,41
12,1,55
12,2,162
13,0,171
13,1,56
13,2,160
14,0,170
14,1,201
14,2,131
15,0,169
15,1,134
15,2,164
16,0,170
16,1,36
16,2,131
17,0,171
17,1,34
17,2,160
18,0,41
18,1,36
18,2,162
19,0,40
19,1,32
19,2,163
20,0,41
20,1,35
20,2,162
21,0,40
21,1,229
21,2,163
22,0,41
22,1,11
22,2,131
23,0,174
23,1,9
23,2,164
24,0,41
24,1,12
24,2,131
25,0,45
25,1,125
25,2,164
26,0,41
26,1,12
26,2,131
27,0,40
27,1,9
27,2,129
28,0,41
28,1,10
28,2,131
29,0,40
29,1,9
29,2,163
30,0,41
30,1,11
30,2,188
31,0,40
31,1,229
31,2,163
32,0,42
32,1,11
32,2,162
33,0,40
33,1,9
33,2,160
34,0,41
34,1,12
34,2,161
35,0,174
35,1,125
35,2,104
36,0,41
36,1,12
36,2,224
37,0,40
37,1,125
37,2,181
38,0,43
38,1,123
38,2,105
39,0,165
39,1,125
39,2,181
40,0,167
40,1,219
40,2,109
41,0,196
41,1,125
41,2,181
42,0,195
42,1,12
42,2,224
43,0,97
43,1,9
43,2,181
44,0,95
44,1,11
44,2,224
45,0,44
45,1,9
45,2,181
46,0,95
46,1,11
46,2,224
47,0,98
47,1,14
47,2,132
48,0,244
48,1,11
48,2,129
49,0,98
49,1,229
49,2,130
50,0,241
50,1,149
50,2,129
51,0,98
51,1,145
51,2,130
52,0,71
52,1,225
52,2,129
53,0,184
53,1,151
53,2,130
54,0,71
54,1,148
54,2,129
55,0,184
55,1,150
55,2,132
56,0,77
56,1,185
56,2,129
57,0,234
57,1,152
57,2,130
58,0,77
58,1,11
58,2,94
59,0,234
59,1,9
59,2,92
60,0,235
60,1,12
60,2,90
61,0,244
61,1,125
61,2,86
62,0,200
62,1,219
62,2,89
63,0,244
63,1,125
63,2,94
64,0,200
64,1,12
64,2,89
65,0,45
65,1,125
65,2,94
66,0,42
66,1,12
66,2,89
67,0,40
67,1,9
67,2,86
68,0,42
68,1,11
68,2,85
69,0,40
69,1,9
69,2,86
70,0,41
70,1,11
70,2,91
71,0,45
71,1,9
71,2,227
72,0,41
72,1,10
72,2,227
73,0,40
73,1,9
73,2,227
74,0,43
74,1,11
74,2,119
75,0,40
75,1,152
75,2,227
76,0,43
76,1,148
76,2,227
77,0,168
77,1,145
77,2,227
78,0,43
78,1,148
78,2,91
79,0,40
79,1,151
79,2,86
80,0,41
80,1,78
80,2,89
81,0,45
81,1,75
81,2,112
82,0,41
82,1,78
82,2,88
83,0,40
83,1,75
83,2,84
84,0,41
84,1,225
84,2,88
85,0,174
85,1,145
85,2,112
86,0,41
86,1,148
86,2,89
87,0,45
87,1,151
87,2,86
88,0,41
88,1,225
88,2,91
89,0,171
89,1,145
89,2,86
90,0,170
90,1,225
90,2,89
91,0,169
91,1,145
91,2,86
92,0,170
92,1,225
92,2,91
93,0,169
93,1,145
93,2,227
94,0,170
94,1,144
94,2,119
95,0,169
95,1,147
95,2,227
96,0,168
96,1,144
96,2,227
97,0,43
97,1,145
97,2,227
98,0,40
98,1,149
98,2,227
99,0,41
99,1,229
99,2,91
100,0,45
100,1,149
100,2,227
101,0,199
101,1,145
101,2,227
102,0,174
102,1,144
102,2,227
103,0,41
103,1,147
103,2,227
104,0,40
104,1,144
104,2,91
105,0,41
105,1,147
105,2,227
106,0,40
106,1,35
106,2,227
107,0,43
107,1,33
107,2,227
108,0,40
108,1,30
108,2,227
109,0,41
109,1,27
109,2,227
110,0,171
110,1,30
110,2,227
111,0,41
111,1,33
111,2,91
112,0,171
112,1,35
112,2,227
113,0,41
113,1,229
113,2,227
114,0,40
114,1,11
114,2,227
115,0,41
115,1,9
115,2,227
116,0,40
116,1,11
116,2,227
117,0,41
117,1,152
117,2,227
118,0,40
118,1,185
118,2,227
119,0,41
119,1,156
119,2,227
120,0,40
120,1,185
120,2,119
