time_step,unit_id,node_id
0,0,179
0,1,234
0,2,221
0,3,13
1,0,199
1,1,0
1,2,193
1,3,190
2,0,179
2,1,126
2,2,165
2,3,17
3,0,199
3,1,19
3,2,192
3,3,190
4,0,200
4,1,22
4,2,166
4,3,13
5,0,199
5,1,28
5,2,192
5,3,190
6,0,200
6,1,31
6,2,191
6,3,17
7,0,199
7,1,33
7,2,96
7,3,190
8,0,200
8,1,214
8,2,94
8,3,17
9,0,201
9,1,33
9,2,97
9,3,190
10,0,200
10,1,214
10,2,224
10,3,14
11,0,201
11,1,8
11,2,97
11,3,11
12,0,200
12,1,214
12,2,94
12,3,7
13,0,201
13,1,8
13,2,97
13,3,6
14,0,200
14,1,6
14,2,94
14,3,7
15,0,236
15,1,7
15,2,97
15,3,6
16,0,235
16,1,6
16,2,70
16,3,7
17,0,189
17,1,8
17,2,183
17,3,6
18,0,163
18,1,6
18,2,76
18,3,8
19,0,130
19,1,8
19,2,219
19,3,6
20,0,128
20,1,6
20,2,76
20,3,7
21,0,129
21,1,8
21,2,183
21,3,11
22,0,128
22,1,6
22,2,72
22,3,7
23,0,129
23,1,9
23,2,74
23,3,11
24,0,93
24,1,124
24,2,73
24,3,7
25,0,129
25,1,9
25,2,74
25,3,6
26,0,128
26,1,6
26,2,77
26,3,9
27,0,129
27,1,8
27,2,186
27,3,124
28,0,128
28,1,151
28,2,77
28,3,9
29,0,130
29,1,8
29,2,150
29,3,6
30,0,163
30,1,214
30,2,153
30,3,9
31,0,130
31,1,33
31,2,149
31,3,124
32,0,162
32,1,214
32,2,185
32,3,9
33,0,161
33,1,8
33,2,155
33,3,6
34,0,162
34,1,6
34,2,185
34,3,8
35,0,161
35,1,8
35,2,155
35,3,214
36,0,162
36,1,11
36,2,185
36,3,148
37,0,161
37,1,14
37,2,11
37,3,144
38,0,162
38,1,190
38,2,7
38,3,148
39,0,130
39,1,14
39,2,6
39,3,144
40,0,163
40,1,155
40,2,8
40,3,215
41,0,130
41,1,185
41,2,151
41,3,144
42,0,163
42,1,149
42,2,8
42,3,143
43,0,130
43,1,152
43,2,214
43,3,144
44,0,128
44,1,155
44,2,148
44,3,215
45,0,129
45,1,152
45,2,151
45,3,74
46,0,93
46,1,110
46,2,147
46,3,73
47,0,129
47,1,152
47,2,150
47,3,74
48,0,128
48,1,154
48,2,77
48,3,73
49,0,129
49,1,153
49,2,150
49,3,74
50,0,128
50,1,150
50,2,215
50,3,215
51,0,129
51,1,147
51,2,150
51,3,74
52,0,93
52,1,151
52,2,147
52,3,215
53,0,129
53,1,148
53,2,149
53,3,74
54,0,128
54,1,214
54,2,185
54,3,77
55,0,129
55,1,8
55,2,155
55,3,150
56,0,128
56,1,151
56,2,14
56,3,153
57,0,129
57,1,148
57,2,190
57,3,150
58,0,128
58,1,144
58,2,13
58,3,77
59,0,129
59,1,215
59,2,190
59,3,75
60,0,128
60,1,150
60,2,14
60,3,76
61,0,130
61,1,215
61,2,155
61,3,183
62,0,163
62,1,150
62,2,185
62,3,70
63,0,130
63,1,77
63,2,151
63,3,183
64,0,163
64,1,150
64,2,148
64,3,70
65,0,130
65,1,147
65,2,144
65,3,97
66,0,128
66,1,151
66,2,215
66,3,224
67,0,129
67,1,147
67,2,150
67,3,97
68,0,93
68,1,150
68,2,153
68,3,224
69,0,129
69,1,153
69,2,150
69,3,97
70,0,128
70,1,149
70,2,147
70,3,224
71,0,129
71,1,153
71,2,144
71,3,97
72,0,128
72,1,150
72,2,148
72,3,70
73,0,129
73,1,147
73,2,151
73,3,97
74,0,128
74,1,151
74,2,147
74,3,94
75,0,129
75,1,148
75,2,149
75,3,97
76,0,128
76,1,144
76,2,152
76,3,94
77,0,129
77,1,215
77,2,155
77,3,97
78,0,128
78,1,74
78,2,152
78,3,94
79,0,129
79,1,72
79,2,110
79,3,97
80,0,128
80,1,74
80,2,152
80,3,70
81,0,129
81,1,72
81,2,155
81,3,97
82,0,128
82,1,74
82,2,152
82,3,70
83,0,129
83,1,215
83,2,155
83,3,183
84,0,93
84,1,144
84,2,152
84,3,76
85,0,88
85,1,143
85,2,110
85,3,75
86,0,85
86,1,144
86,2,152
86,3,72
87,0,88
87,1,215
87,2,110
87,3,74
88,0,85
88,1,144
88,2,152
88,3,72
89,0,88
89,1,147
89,2,110
89,3,75
90,0,85
90,1,151
90,2,113
90,3,78
91,0,88
91,1,148
91,2,83
91,3,227
92,0,93
92,1,151
92,2,113
92,3,76
93,0,129
93,1,147
93,2,110
93,3,75
94,0,128
94,1,144
94,2,113
94,3,77
95,0,130
95,1,148
95,2,83
95,3,186
96,0,163
96,1,151
96,2,113
96,3,78
97,0,130
97,1,148
97,2,110
97,3,75
98,0,162
98,1,151
98,2,113
98,3,77
99,0,130
99,1,148
99,2,154
99,3,150
100,0,162
100,1,151
100,2,113
100,3,215
101,0,161
101,1,148
101,2,154
101,3,144
102,0,162
102,1,151
102,2,152
102,3,215
103,0,161
103,1,8
103,2,155
103,3,150
104,0,162
104,1,6
104,2,14
104,3,77
105,0,130
105,1,7
105,2,11
105,3,186
106,0,163
106,1,12
106,2,8
106,3,77
107,0,130
107,1,7
107,2,151
107,3,74
108,0,163
108,1,6
108,2,8
108,3,77
109,0,130
109,1,8
109,2,214
109,3,75
110,0,162
110,1,6
110,2,33
110,3,77
111,0,161
111,1,9
111,2,214
111,3,74
112,0,162
112,1,6
112,2,148
112,3,77
113,0,161
113,1,9
113,2,214
113,3,150
114,0,162
114,1,6
114,2,148
114,3,77
115,0,161
115,1,7
115,2,144
115,3,150
116,0,162
116,1,6
116,2,143
116,3,147
117,0,130
117,1,7
117,2,144
117,3,150
118,0,163
118,1,6
118,2,147
118,3,153
119,0,130
119,1,9
119,2,149
119,3,149
120,0,163
120,1,124
120,2,153
120,3,147
