time_step,unit_id,node_id
0,0,179
0,1,234
0,2,221
0,3,13
1,0,177
1,1,0
1,2,194
1,3,190
2,0,178
2,1,126
2,2,99
2,3,17
3,0,226
3,1,125
3,2,194
3,3,190
4,0,178
4,1,127
4,2,99
4,3,13
5,0,177
5,1,134
5,2,194
5,3,190
6,0,178
6,1,127
6,2,99
6,3,17
7,0,177
7,1,134
7,2,95
7,3,190
8,0,178
8,1,135
8,2,94
8,3,17
9,0,177
9,1,134
9,2,97
9,3,190
10,0,178
10,1,135
10,2,224
10,3,14
11,0,177
11,1,134
11,2,97
11,3,11
12,0,178
12,1,135
12,2,94
12,3,7
13,0,177
13,1,134
13,2,97
13,3,6
14,0,178
14,1,135
14,2,94
14,3,7
15,0,226
15,1,134
15,2,97
15,3,6
16,0,178
16,1,135
16,2,70
16,3,7
17,0,177
17,1,134
17,2,183
17,3,6
18,0,178
18,1,135
18,2,76
18,3,8
19,0,226
19,1,134
19,2,219
19,3,6
20,0,178
20,1,135
20,2,76
20,3,7
21,0,177
21,1,134
21,2,183
21,3,11
22,0,178
22,1,135
22,2,72
22,3,7
23,0,226
23,1,134
23,2,74
23,3,11
24,0,178
24,1,127
24,2,73
24,3,7
25,0,226
25,1,125
25,2,74
25,3,6
26,0,178
26,1,126
26,2,77
26,3,9
27,0,177
27,1,125
27,2,186
27,3,124
28,0,178
28,1,127
28,2,77
28,3,9
29,0,226
29,1,134
29,2,150
29,3,6
30,0,178
30,1,135
30,2,153
30,3,9
31,0,226
31,1,134
31,2,149
31,3,124
32,0,178
32,1,135
32,2,185
32,3,9
33,0,226
33,1,134
33,2,155
33,3,6
34,0,178
34,1,135
34,2,185
34,3,8
35,0,226
35,1,134
35,2,155
35,3,214
36,0,178
36,1,135
36,2,185
36,3,148
37,0,226
37,1,134
37,2,11
37,3,144
38,0,178
38,1,127
38,2,7
38,3,148
39,0,177
39,1,134
39,2,6
39,3,144
40,0,178
40,1,135
40,2,8
40,3,215
41,0,226
41,1,134
41,2,151
41,3,144
42,0,178
42,1,127
42,2,8
42,3,143
43,0,226
43,1,125
43,2,214
43,3,144
44,0,178
44,1,126
44,2,148
44,3,215
45,0,177
45,1,125
45,2,151
45,3,74
46,0,178
46,1,127
46,2,147
46,3,73
47,0,226
47,1,134
47,2,150
47,3,74
48,0,178
48,1,135
48,2,77
48,3,73
49,0,177
49,1,134
49,2,150
49,3,74
50,0,178
50,1,135
50,2,215
50,3,215
51,0,177
51,1,134
51,2,150
51,3,74
52,0,178
52,1,135
52,2,147
52,3,215
53,0,226
53,1,134
53,2,149
53,3,74
54,0,178
54,1,135
54,2,185
54,3,77
55,0,177
55,1,134
55,2,155
55,3,150
56,0,178
56,1,127
56,2,14
56,3,153
57,0,177
57,1,134
57,2,190
57,3,150
58,0,178
58,1,127
58,2,13
58,3,77
59,0,226
59,1,125
59,2,190
59,3,75
60,0,178
60,1,126
60,2,14
60,3,76
61,0,226
61,1,125
61,2,155
61,3,183
62,0,178
62,1,126
62,2,185
62,3,70
63,0,177
63,1,125
63,2,151
63,3,183
64,0,178
64,1,127
64,2,148
64,3,70
65,0,226
65,1,134
65,2,144
65,3,97
66,0,178
66,1,135
66,2,215
66,3,224
67,0,226
67,1,134
67,2,150
67,3,97
68,0,178
68,1,135
68,2,153
68,3,224
69,0,177
69,1,134
69,2,150
69,3,97
70,0,178
70,1,127
70,2,147
70,3,224
71,0,177
71,1,134
71,2,144
71,3,97
72,0,178
72,1,135
72,2,148
72,3,70
73,0,177
73,1,134
73,2,151
73,3,97
74,0,178
74,1,135
74,2,147
74,3,94
75,0,177
75,1,134
75,2,149
75,3,97
76,0,178
76,1,127
76,2,152
76,3,94
77,0,177
77,1,125
77,2,155
77,3,97
78,0,178
78,1,126
78,2,152
78,3,94
79,0,177
79,1,125
79,2,110
79,3,97
80,0,178
80,1,126
80,2,152
80,3,70
81,0,177
81,1,125
81,2,155
81,3,97
82,0,178
82,1,126
82,2,152
82,3,70
83,0,177
83,1,125
83,2,155
83,3,183
84,0,178
84,1,127
84,2,152
84,3,76
85,0,177
85,1,134
85,2,110
85,3,75
86,0,178
86,1,135
86,2,152
86,3,72
87,0,226
87,1,134
87,2,110
87,3,74
88,0,178
88,1,127
88,2,152
88,3,72
89,0,177
89,1,134
89,2,110
89,3,75
90,0,178
90,1,135
90,2,113
90,3,78
91,0,177
91,1,134
91,2,83
91,3,227
92,0,178
92,1,135
92,2,113
92,3,76
93,0,226
93,1,134
93,2,110
93,3,75
94,0,178
94,1,135
94,2,113
94,3,77
95,0,226
95,1,134
95,2,83
95,3,186
96,0,178
96,1,135
96,2,113
96,3,78
97,0,226
97,1,134
97,2,110
97,3,75
98,0,178
98,1,135
98,2,113
98,3,77
99,0,177
99,1,134
99,2,154
99,3,150
100,0,178
100,1,135
100,2,113
100,3,215
101,0,177
101,1,134
101,2,154
101,3,144
102,0,178
102,1,135
102,2,152
102,3,215
103,0,226
103,1,134
103,2,155
103,3,150
104,0,178
104,1,135
104,2,14
104,3,77
105,0,177
105,1,134
105,2,11
105,3,186
106,0,178
106,1,127
106,2,8
106,3,77
107,0,226
107,1,134
107,2,151
107,3,74
108,0,178
108,1,135
108,2,8
108,3,77
109,0,177
109,1,134
109,2,214
109,3,75
110,0,178
110,1,135
110,2,33
110,3,77
111,0,177
111,1,134
111,2,214
111,3,74
112,0,178
112,1,135
112,2,148
112,3,77
113,0,226
113,1,134
113,2,214
113,3,150
114,0,178
114,1,135
114,2,148
114,3,77
115,0,226
115,1,134
115,2,144
115,3,150
116,0,178
116,1,135
116,2,143
116,3,147
117,0,177
117,1,134
117,2,144
117,3,150
118,0,178
118,1,135
118,2,147
118,3,153
119,0,226
119,1,134
119,2,149
119,3,149
120,0,178
120,1,127
120,2,153
120,3,147
121,0,177
121,1,134
121,2,150
121,3,150
