time_step,unit_id,node_id
0,0,172
0,1,49
0,2,2
0,3,214
1,0,173
1,1,53
1,2,3
1,3,215
2,0,172
2,1,49
2,2,2
2,3,247
3,0,173
3,1,48
3,2,3
3,3,248
4,0,172
4,1,51
4,2,2
4,3,217
5,0,171
5,1,52
5,2,3
5,3,248
6,0,172
6,1,57
6,2,2
6,3,249
7,0,171
7,1,55
7,2,3
7,3,248
8,0,41
8,1,56
8,2,2
8,3,249
9,0,40
9,1,201
9,2,3
9,3,248
10,0,42
10,1,242
10,2,210
10,3,249
11,0,40
11,1,57
11,2,211
11,3,248
12,0,42
12,1,242
12,2,210
12,3,217
13,0,40
13,1,57
13,2,192
13,3,214
14,0,43
14,1,52
14,2,210
14,3,216
15,0,40
15,1,53
15,2,192
15,3,102
16,0,41
16,1,49
16,2,8
16,3,101
17,0,40
17,1,48
17,2,192
17,3,99
18,0,43
18,1,50
18,2,193
18,3,101
19,0,168
19,1,48
19,2,232
19,3,99
20,0,43
20,1,50
20,2,193
20,3,96
21,0,40
21,1,48
21,2,187
21,3,100
22,0,41
22,1,49
22,2,163
22,3,96
23,0,40
23,1,53
23,2,162
23,3,100
24,0,41
24,1,52
24,2,163
24,3,96
25,0,171
25,1,54
25,2,188
25,3,95
26,0,170
26,1,212
26,2,191
26,3,97
27,0,171
27,1,54
27,2,188
27,3,95
28,0,41
28,1,242
28,2,163
28,3,96
29,0,171
29,1,54
29,2,131
29,3,95
30,0,172
30,1,52
30,2,164
30,3,98
31,0,173
31,1,51
31,2,190
31,3,71
32,0,172
32,1,212
32,2,228
32,3,98
33,0,173
33,1,50
33,2,93
33,3,244
34,0,174
34,1,0
34,2,228
34,3,98
35,0,41
35,1,251
35,2,93
35,3,244
36,0,45
36,1,0
36,2,228
36,3,235
37,0,200
37,1,251
37,2,94
37,3,234
38,0,199
38,1,0
38,2,89
38,3,235
39,0,174
39,1,251
39,2,86
39,3,234
40,0,173
40,1,0
40,2,89
40,3,77
41,0,175
41,1,50
41,2,113
41,3,234
42,0,176
42,1,212
42,2,89
42,3,77
43,0,175
43,1,50
43,2,112
43,3,184
44,0,173
44,1,0
44,2,89
44,3,71
45,0,172
45,1,127
45,2,113
45,3,67
46,0,171
46,1,21
46,2,158
46,3,70
47,0,172
47,1,23
47,2,108
47,3,73
48,0,173
48,1,21
48,2,111
48,3,184
49,0,174
49,1,24
49,2,153
49,3,73
50,0,41
50,1,25
50,2,156
50,3,75
51,0,40
51,1,27
51,2,185
51,3,73
52,0,41
52,1,25
52,2,156
52,3,75
53,0,40
53,1,28
53,2,157
53,3,74
54,0,42
54,1,26
54,2,156
54,3,75
55,0,40
55,1,22
55,2,185
55,3,78
56,0,42
56,1,26
56,2,152
56,3,151
57,0,40
