time_step,unit_id,node_id
0,0,179
0,1,234
1,0,199
1,1,0
2,0,179
2,1,126
3,0,177
3,1,19
4,0,178
4,1,22
5,0,226
5,1,23
6,0,178
6,1,25
7,0,226
7,1,29
8,0,178
8,1,25
9,0,177
9,1,29
10,0,178
10,1,32
11,0,226
11,1,34
12,0,178
12,1,133
13,0,177
13,1,197
14,0,5
14,1,55
15,0,177
15,1,197
16,0,178
16,1,55
17,0,177
17,1,197
18,0,5
18,1,225
19,0,177
19,1,56
20,0,179
20,1,225
21,0,177
21,1,56
22,0,178
22,1,51
23,0,226
23,1,49
24,0,178
24,1,46
25,0,177
25,1,47
26,0,178
26,1,46
27,0,226
27,1,48
28,0,178
28,1,0
29,0,226
29,1,234
30,0,178
30,1,0
31,0,177
31,1,1
32,0,178
32,1,0
33,0,177
33,1,234
34,0,178
34,1,0
35,0,226
35,1,1
36,0,201
36,1,0
37,0,200
37,1,126
38,0,236
38,1,0
39,0,235
39,1,1
40,0,189
40,1,0
41,0,163
41,1,234
42,0,130
42,1,0
43,0,162
43,1,234
44,0,161
44,1,0
45,0,162
45,1,48
46,0,130
46,1,50
47,0,128
47,1,49
48,0,129
48,1,46
49,0,128
49,1,48
50,0,130
50,1,0
51,0,159
51,1,234
52,0,161
52,1,0
53,0,162
53,1,126
54,0,161
54,1,19
55,0,162
55,1,22
56,0,161
56,1,28
57,0,162
57,1,22
58,0,161
58,1,23
59,0,159
59,1,25
60,0,161
60,1,27
61,0,162
61,1,31
62,0,187
62,1,33
63,0,162
63,1,30
64,0,130
64,1,33
65,0,159
65,1,214
66,0,161
66,1,33
67,0,162
67,1,214
68,0,161
68,1,33
69,0,162
69,1,30
70,0,161
70,1,33
71,0,159
71,1,214
72,0,158
72,1,148
73,0,159
73,1,144
74,0,160
74,1,148
75,0,131
75,1,144
76,0,213
76,1,148
77,0,17
77,1,151
78,0,16
78,1,148
79,0,17
79,1,151
80,0,190
80,1,8
81,0,17
81,1,214
82,0,104
82,1,148
83,0,180
83,1,144
84,0,104
84,1,143
85,0,180
85,1,145
86,0,213
86,1,71
87,0,17
87,1,66
88,0,104
88,1,69
89,0,105
89,1,73
90,0,156
90,1,69
91,0,155
91,1,73
92,0,185
92,1,71
93,0,149
93,1,73
94,0,147
94,1,74
95,0,144
95,1,73
96,0,143
96,1,71
97,0,145
97,1,145
98,0,143
98,1,215
99,0,145
99,1,74
100,0,71
100,1,215
101,0,68
101,1,150
102,0,65
102,1,215
103,0,60
103,1,145
104,0,64
104,1,215
105,0,61
105,1,144
106,0,64
106,1,215
107,0,61
107,1,74
108,0,58
108,1,77
109,0,60
109,1,75
110,0,64
110,1,78
111,0,61
111,1,79
112,0,58
112,1,81
113,0,57
113,1,86
114,0,181
114,1,81
115,0,182
115,1,86
116,0,181
116,1,81
117,0,61
117,1,79
118,0,58
118,1,80
119,0,60
119,1,79
