time_step,unit_id,node_id
0,0,179
0,1,234
0,2,221
1,0,177
1,1,0
1,2,194
2,0,178
2,1,234
2,2,221
3,0,177
3,1,0
3,2,193
4,0,178
4,1,126
4,2,165
5,0,226
5,1,125
5,2,164
6,0,178
6,1,126
6,2,165
7,0,226
7,1,125
7,2,192
8,0,178
8,1,126
8,2,165
9,0,177
9,1,125
9,2,164
10,0,178
10,1,126
10,2,166
11,0,177
11,1,125
11,2,164
12,0,178
12,1,126
12,2,165
13,0,226
13,1,125
13,2,192
14,0,178
14,1,126
14,2,165
15,0,226
15,1,125
15,2,164
16,0,178
16,1,126
16,2,41
17,0,177
17,1,125
17,2,38
18,0,178
18,1,127
18,2,39
19,0,177
19,1,134
19,2,38
20,0,178
20,1,135
20,2,39
21,0,177
21,1,134
21,2,38
22,0,178
22,1,135
22,2,39
23,0,226
23,1,134
23,2,38
24,0,178
24,1,127
24,2,39
25,0,226
25,1,134
25,2,38
26,0,178
26,1,135
26,2,39
27,0,177
27,1,134
27,2,38
28,0,178
28,1,135
28,2,39
29,0,226
29,1,134
29,2,38
30,0,178
30,1,135
30,2,39
31,0,177
31,1,134
31,2,38
32,0,178
32,1,135
32,2,39
33,0,226
33,1,134
33,2,38
34,0,178
34,1,135
34,2,39
35,0,226
35,1,134
35,2,38
36,0,178
36,1,135
36,2,39
37,0,177
37,1,134
37,2,38
38,0,178
38,1,135
38,2,39
39,0,226
39,1,134
39,2,38
40,0,178
40,1,127
40,2,39
41,0,226
41,1,134
41,2,38
42,0,178
42,1,135
42,2,39
43,0,177
43,1,134
43,2,38
44,0,178
44,1,135
44,2,39
45,0,177
45,1,134
45,2,38
46,0,178
46,1,135
46,2,39
47,0,226
47,1,134
47,2,38
48,0,178
48,1,135
48,2,39
49,0,226
49,1,134
49,2,38
50,0,178
50,1,135
50,2,39
51,0,177
51,1,134
51,2,38
52,0,178
52,1,135
52,2,39
53,0,226
53,1,134
53,2,38
54,0,178
54,1,135
54,2,39
55,0,226
55,1,134
55,2,38
56,0,178
56,1,135
56,2,39
57,0,226
57,1,134
57,2,38
58,0,178
58,1,135
58,2,39
59,0,226
59,1,134
59,2,38
60,0,178
60,1,135
60,2,39
61,0,177
61,1,134
61,2,38
62,0,178
62,1,127
62,2,39
63,0,226
63,1,134
63,2,38
64,0,178
64,1,135
64,2,39
65,0,177
65,1,134
65,2,38
66,0,178
66,1,135
66,2,39
67,0,177
67,1,134
67,2,38
68,0,178
68,1,135
68,2,39
69,0,177
69,1,134
69,2,38
70,0,178
70,1,135
70,2,39
71,0,226
71,1,134
71,2,38
72,0,178
72,1,135
72,2,39
73,0,177
73,1,134
73,2,38
74,0,178
74,1,135
74,2,39
75,0,177
75,1,134
75,2,38
76,0,178
76,1,135
76,2,39
77,0,226
77,1,134
77,2,38
78,0,178
78,1,135
78,2,39
79,0,177
79,1,134
79,2,38
80,0,178
80,1,135
80,2,39
81,0,226
81,1,134
81,2,38
82,0,178
82,1,135
82,2,39
83,0,226
83,1,134
83,2,38
84,0,178
84,1,135
84,2,39
85,0,226
85,1,134
85,2,38
86,0,178
86,1,135
86,2,39
87,0,226
87,1,134
87,2,38
88,0,178
88,1,135
88,2,39
89,0,226
89,1,134
89,2,38
90,0,178
90,1,135
90,2,39
91,0,226
91,1,134
91,2,38
92,0,178
92,1,135
92,2,39
93,0,226
93,1,134
93,2,38
94,0,178
94,1,135
94,2,39
95,0,226
95,1,134
95,2,38
96,0,178
96,1,127
96,2,39
97,0,177
97,1,134
97,2,38
98,0,178
98,1,135
98,2,39
99,0,177
99,1,134
99,2,38
100,0,178
100,1,127
100,2,39
101,0,226
101,1,134
101,2,38
102,0,178
102,1,135
102,2,39
103,0,177
103,1,134
103,2,38
104,0,178
104,1,135
104,2,39
105,0,177
105,1,134
105,2,38
106,0,178
106,1,135
106,2,39
107,0,226
107,1,134
107,2,38
108,0,178
108,1,135
108,2,39
109,0,177
109,1,134
109,2,38
110,0,178
110,1,135
110,2,39
111,0,177
111,1,134
111,2,38
112,0,178
112,1,135
112,2,39
113,0,177
113,1,134
113,2,38
114,0,178
114,1,135
114,2,39
115,0,177
115,1,134
115,2,38
116,0,178
116,1,135
116,2,39
117,0,226
117,1,134
117,2,38
118,0,178
118,1,135
118,2,39
119,0,226
119,1,134
119,2,38
120,0,178
120,1,135
120,2,39
