time_step,unit_id,node_id
0,0,179
0,1,234
1,0,199
1,1,0
2,0,200
2,1,126
3,0,201
3,1,125
4,0,188
4,1,127
5,0,201
5,1,125
6,0,200
6,1,21
7,0,201
7,1,125
8,0,226
8,1,126
9,0,178
9,1,125
10,0,226
10,1,127
11,0,178
11,1,136
12,0,177
12,1,127
13,0,178
13,1,136
14,0,177
14,1,138
15,0,178
15,1,139
16,0,177
16,1,141
17,0,178
17,1,145
18,0,177
18,1,143
19,0,178
19,1,144
20,0,226
20,1,147
21,0,178
21,1,150
22,0,226
22,1,215
23,0,178
23,1,150
24,0,177
24,1,215
25,0,178
25,1,150
26,0,226
26,1,77
27,0,178
27,1,74
28,0,177
28,1,73
29,0,178
29,1,74
30,0,177
30,1,73
31,0,178
31,1,74
32,0,226
32,1,72
33,0,178
33,1,74
34,0,226
34,1,72
35,0,178
35,1,183
36,0,226
36,1,72
37,0,178
37,1,75
38,0,226
38,1,72
39,0,178
39,1,183
40,0,177
40,1,70
41,0,178
41,1,97
42,0,177
42,1,70
43,0,178
43,1,97
44,0,226
44,1,94
45,0,178
45,1,97
46,0,177
46,1,70
47,0,178
47,1,183
48,0,177
48,1,70
49,0,178
49,1,97
50,0,226
50,1,94
51,0,178
51,1,97
52,0,226
52,1,224
53,0,178
53,1,97
54,0,226
54,1,70
55,0,178
55,1,183
56,0,177
56,1,76
57,0,178
57,1,75
58,0,226
58,1,77
59,0,178
59,1,186
60,0,226
60,1,153
61,0,178
61,1,150
62,0,226
62,1,147
63,0,178
63,1,144
64,0,177
64,1,143
65,0,178
65,1,144
66,0,226
66,1,143
67,0,178
67,1,144
68,0,226
68,1,147
69,0,178
69,1,144
70,0,226
70,1,143
71,0,178
71,1,144
72,0,177
72,1,148
73,0,178
73,1,151
74,0,177
74,1,148
75,0,178
75,1,144
76,0,177
76,1,148
77,0,178
77,1,151
78,0,177
78,1,148
79,0,178
79,1,151
80,0,177
80,1,8
81,0,178
81,1,214
82,0,226
82,1,148
83,0,178
83,1,144
84,0,177
84,1,143
85,0,178
85,1,144
86,0,226
86,1,215
87,0,178
87,1,74
88,0,226
88,1,73
89,0,178
89,1,74
90,0,226
90,1,72
91,0,178
91,1,75
92,0,226
92,1,77
93,0,178
93,1,186
94,0,226
94,1,78
95,0,178
95,1,75
96,0,177
96,1,77
97,0,178
97,1,150
98,0,226
98,1,77
99,0,178
99,1,75
100,0,177
100,1,77
101,0,178
101,1,150
102,0,177
102,1,215
103,0,178
103,1,74
104,0,226
104,1,215
105,0,178
105,1,144
106,0,226
106,1,215
107,0,178
107,1,74
108,0,177
108,1,77
109,0,178
109,1,75
110,0,226
110,1,76
111,0,178
111,1,219
112,0,177
112,1,76
113,0,178
113,1,219
114,0,226
114,1,76
115,0,178
115,1,219
116,0,177
116,1,76
117,0,178
117,1,183
118,0,177
118,1,72
119,0,178
119,1,74
120,0,177
120,1,215
