time_step,unit_id,node_id
0,0,179
0,1,234
0,2,221
0,3,13
1,0,199
1,1,0
1,2,193
1,3,16
2,0,179
2,1,126
2,2,165
2,3,17
3,0,199
3,1,19
3,2,192
3,3,190
4,0,179
4,1,22
4,2,166
4,3,13
5,0,177
5,1,28
5,2,192
5,3,190
6,0,179
6,1,31
6,2,191
6,3,17
7,0,177
7,1,33
7,2,96
7,3,213
8,0,178
8,1,214
8,2,94
8,3,180
9,0,177
9,1,33
9,2,42
9,3,213
10,0,178
10,1,30
10,2,228
10,3,180
11,0,177
11,1,33
11,2,97
11,3,104
12,0,178
12,1,30
12,2,94
12,3,17
13,0,177
13,1,33
13,2,97
13,3,190
14,0,179
14,1,214
14,2,94
14,3,13
15,0,199
15,1,8
15,2,97
15,3,15
16,0,202
16,1,6
16,2,70
16,3,13
17,0,2
17,1,8
17,2,183
17,3,10
18,0,202
18,1,6
18,2,76
18,3,13
19,0,199
19,1,8
19,2,219
19,3,10
20,0,202
20,1,6
20,2,76
20,3,7
21,0,2
21,1,8
21,2,183
21,3,11
22,0,3
22,1,6
22,2,72
22,3,7
23,0,4
23,1,9
23,2,183
23,3,11
24,0,3
24,1,124
24,2,70
24,3,7
25,0,4
25,1,9
25,2,183
25,3,6
26,0,3
26,1,6
26,2,76
26,3,9
27,0,2
27,1,8
27,2,227
27,3,124
28,0,3
28,1,151
28,2,76
28,3,208
29,0,4
29,1,8
29,2,219
29,3,124
30,0,5
30,1,214
30,2,220
30,3,122
31,0,44
31,1,33
31,2,219
31,3,124
32,0,5
32,1,30
32,2,76
32,3,9
33,0,177
33,1,33
33,2,227
33,3,6
34,0,5
34,1,214
34,2,76
34,3,8
35,0,177
35,1,33
35,2,227
35,3,11
36,0,179
36,1,214
36,2,76
36,3,185
37,0,199
37,1,33
37,2,183
37,3,149
38,0,200
38,1,146
38,2,70
38,3,153
39,0,199
39,1,143
39,2,67
39,3,149
40,0,200
40,1,144
40,2,70
40,3,185
41,0,236
41,1,143
41,2,183
41,3,149
42,0,200
42,1,144
42,2,70
42,3,152
43,0,236
43,1,215
43,2,97
43,3,155
44,0,235
44,1,145
44,2,224
44,3,14
45,0,189
45,1,143
45,2,95
45,3,10
46,0,163
46,1,144
46,2,99
46,3,7
47,0,189
47,1,147
47,2,230
47,3,11
48,0,187
48,1,150
48,2,99
48,3,7
49,0,162
49,1,153
49,2,230
49,3,10
50,0,130
50,1,150
50,2,98
50,3,13
51,0,162
51,1,147
51,2,100
51,3,10
52,0,130
52,1,151
52,2,102
52,3,13
53,0,162
53,1,148
53,2,204
53,3,15
54,0,161
54,1,214
54,2,102
54,3,184
55,0,162
55,1,8
55,2,205
55,3,15
56,0,161
56,1,151
56,2,101
56,3,18
57,0,162
57,1,148
57,2,205
57,3,15
58,0,187
58,1,144
58,2,101
58,3,13
59,0,162
59,1,215
59,2,100
59,3,16
60,0,161
60,1,150
60,2,98
60,3,18
61,0,159
61,1,215
61,2,100
61,3,15
62,0,161
62,1,150
62,2,101
62,3,13
63,0,162
63,1,77
63,2,207
63,3,190
64,0,161
64,1,150
64,2,229
64,3,13
65,0,162
65,1,147
65,2,207
65,3,15
66,0,130
66,1,151
66,2,101
66,3,18
67,0,159
67,1,147
67,2,100
67,3,16
68,0,160
68,1,150
68,2,102
68,3,17
69,0,36
69,1,153
69,2,100
69,3,213
70,0,210
70,1,149
70,2,101
70,3,180
71,0,36
71,1,153
71,2,207
71,3,104
72,0,160
72,1,186
72,2,229
72,3,180
73,0,36
73,1,80
73,2,224
73,3,104
74,0,210
74,1,79
74,2,97
74,3,17
75,0,36
75,1,81
75,2,224
75,3,213
76,0,210
76,1,86
76,2,97
76,3,17
77,0,36
77,1,81
77,2,94
77,3,16
78,0,209
78,1,79
78,2,95
78,3,13
79,0,36
79,1,78
79,2,99
79,3,15
80,0,160
80,1,186
80,2,194
80,3,184
81,0,36
81,1,77
81,2,99
81,3,12
82,0,160
82,1,75
82,2,230
82,3,7
83,0,36
83,1,77
83,2,98
83,3,12
84,0,35
84,1,150
84,2,230
84,3,7
85,0,36
85,1,77
85,2,102
85,3,6
86,0,160
86,1,74
86,2,230
86,3,7
87,0,159
87,1,72
87,2,102
87,3,6
88,0,161
88,1,75
88,2,205
88,3,7
89,0,162
89,1,76
89,2,102
89,3,11
90,0,130
90,1,183
90,2,230
90,3,185
91,0,128
91,1,76
91,2,102
91,3,151
92,0,131
92,1,75
92,2,205
92,3,185
93,0,128
93,1,76
93,2,203
93,3,151
94,0,130
94,1,227
94,2,205
94,3,8
95,0,163
95,1,78
95,2,102
95,3,214
96,0,189
96,1,227
96,2,204
96,3,33
97,0,187
97,1,78
97,2,231
97,3,214
98,0,162
98,1,227
98,2,204
98,3,8
99,0,130
99,1,78
99,2,102
99,3,151
100,0,162
100,1,75
100,2,100
100,3,8
101,0,161
101,1,78
101,2,98
101,3,151
102,0,159
102,1,227
102,2,95
102,3,8
103,0,161
103,1,76
103,2,94
103,3,11
104,0,162
104,1,75
104,2,97
104,3,8
105,0,130
105,1,72
105,2,94
105,3,214
106,0,163
106,1,75
106,2,97
106,3,8
107,0,130
107,1,77
107,2,224
107,3,6
108,0,163
108,1,75
108,2,97
108,3,8
109,0,130
109,1,76
109,2,70
109,3,11
110,0,162
110,1,75
110,2,183
110,3,8
111,0,161
111,1,78
111,2,76
111,3,6
112,0,162
112,1,75
112,2,219
112,3,9
113,0,187
113,1,78
113,2,76
113,3,124
114,0,162
114,1,75
114,2,219
114,3,9
115,0,161
115,1,72
115,2,76
115,3,124
116,0,162
116,1,74
116,2,75
116,3,122
117,0,130
117,1,72
117,2,77
117,3,124
118,0,163
118,1,183
118,2,75
118,3,208
119,0,130
119,1,76
119,2,78
119,3,124
