time_step,unit_id,node_id
0,0,179
0,1,234
0,2,221
0,3,13
1,0,177
1,1,0
1,2,194
1,3,190
2,0,178
2,1,234
2,2,99
2,3,14
3,0,177
3,1,0
3,2,194
3,3,190
4,0,178
4,1,234
4,2,99
4,3,13
5,0,177
5,1,0
5,2,194
5,3,190
6,0,178
6,1,126
6,2,221
6,3,17
7,0,226
7,1,125
7,2,194
7,3,190
8,0,178
8,1,126
8,2,221
8,3,14
9,0,177
9,1,125
9,2,194
9,3,190
10,0,178
10,1,127
10,2,221
10,3,13
11,0,226
11,1,134
11,2,194
11,3,190
12,0,178
12,1,135
12,2,221
12,3,13
13,0,226
13,1,134
13,2,194
13,3,190
14,0,178
14,1,135
14,2,221
14,3,17
15,0,226
15,1,134
15,2,194
15,3,190
16,0,178
16,1,135
16,2,221
16,3,14
17,0,226
17,1,134
17,2,193
17,3,155
18,0,178
18,1,135
18,2,165
18,3,152
19,0,177
19,1,134
19,2,164
19,3,110
20,0,178
20,1,135
20,2,165
20,3,152
21,0,177
21,1,134
21,2,164
21,3,110
22,0,178
22,1,127
22,2,165
22,3,113
23,0,226
23,1,125
23,2,164
23,3,83
24,0,178
24,1,126
24,2,165
24,3,113
25,0,226
25,1,125
25,2,164
25,3,110
26,0,178
26,1,126
26,2,165
26,3,152
27,0,226
27,1,125
27,2,164
27,3,149
28,0,178
28,1,126
28,2,165
28,3,153
29,0,177
29,1,125
29,2,192
29,3,149
30,0,178
30,1,126
30,2,166
30,3,147
31,0,226
31,1,125
31,2,164
31,3,151
32,0,178
32,1,126
32,2,41
32,3,147
33,0,226
33,1,125
33,2,38
33,3,151
34,0,178
34,1,126
34,2,39
34,3,147
35,0,177
35,1,125
35,2,38
35,3,144
36,0,178
36,1,127
36,2,39
36,3,215
37,0,177
37,1,134
37,2,38
37,3,150
38,0,178
38,1,127
38,2,39
38,3,77
39,0,177
39,1,134
39,2,38
39,3,75
40,0,178
40,1,127
40,2,39
40,3,76
41,0,226
41,1,134
41,2,38
41,3,75
42,0,178
42,1,135
42,2,39
42,3,77
43,0,177
43,1,134
43,2,38
43,3,75
44,0,178
44,1,135
44,2,39
44,3,77
45,0,177
45,1,134
45,2,38
45,3,74
46,0,178
46,1,135
46,2,39
46,3,77
47,0,226
47,1,134
47,2,38
47,3,74
48,0,178
48,1,135
48,2,39
48,3,215
49,0,226
49,1,134
49,2,38
49,3,150
50,0,178
50,1,127
50,2,39
50,3,147
51,0,177
51,1,134
51,2,38
51,3,144
52,0,178
52,1,127
52,2,39
52,3,148
53,0,226
53,1,134
53,2,38
53,3,151
54,0,178
54,1,135
54,2,39
54,3,8
55,0,177
55,1,134
55,2,38
55,3,151
56,0,178
56,1,135
56,2,39
56,3,8
57,0,226
57,1,134
57,2,38
57,3,6
58,0,178
58,1,135
58,2,39
58,3,8
59,0,177
59,1,134
59,2,38
59,3,151
60,0,178
60,1,135
60,2,39
60,3,8
61,0,226
61,1,134
61,2,38
61,3,6
62,0,178
62,1,135
62,2,39
62,3,7
63,0,226
63,1,134
63,2,38
63,3,6
64,0,178
64,1,127
64,2,39
64,3,8
65,0,177
65,1,125
65,2,38
65,3,151
66,0,178
66,1,126
66,2,39
66,3,147
67,0,226
67,1,125
67,2,38
67,3,150
68,0,178
68,1,126
68,2,39
68,3,147
69,0,177
69,1,125
69,2,38
69,3,150
70,0,178
70,1,126
70,2,39
70,3,77
71,0,226
71,1,125
71,2,38
71,3,75
72,0,178
72,1,127
72,2,39
72,3,76
73,0,177
73,1,134
73,2,38
73,3,75
74,0,178
74,1,135
74,2,39
74,3,77
75,0,177
75,1,134
75,2,38
75,3,74
76,0,178
76,1,135
76,2,39
76,3,77
77,0,177
77,1,134
77,2,38
77,3,150
78,0,178
78,1,135
78,2,39
78,3,147
79,0,177
79,1,134
79,2,38
79,3,150
80,0,178
80,1,135
80,2,39
80,3,77
81,0,226
81,1,134
81,2,38
81,3,74
82,0,178
82,1,135
82,2,39
82,3,77
83,0,177
83,1,134
83,2,38
83,3,186
84,0,178
84,1,135
84,2,39
84,3,77
85,0,226
85,1,134
85,2,38
85,3,150
86,0,178
86,1,135
86,2,39
86,3,77
87,0,226
87,1,134
87,2,38
87,3,150
88,0,178
88,1,135
88,2,39
88,3,147
89,0,177
89,1,134
89,2,38
89,3,150
90,0,178
90,1,135
90,2,39
90,3,215
91,0,177
91,1,134
91,2,38
91,3,74
92,0,178
92,1,135
92,2,39
92,3,77
93,0,226
93,1,134
93,2,38
93,3,74
94,0,178
94,1,127
94,2,39
94,3,77
95,0,177
95,1,134
95,2,38
95,3,74
96,0,178
96,1,127
96,2,39
96,3,77
97,0,226
97,1,134
97,2,38
97,3,74
98,0,178
98,1,127
98,2,39
98,3,77
99,0,177
99,1,134
99,2,38
99,3,150
100,0,178
100,1,127
100,2,39
100,3,77
101,0,177
101,1,134
101,2,38
101,3,75
102,0,178
102,1,135
102,2,39
102,3,77
103,0,226
103,1,134
103,2,38
103,3,74
104,0,178
104,1,135
104,2,39
104,3,77
105,0,177
105,1,134
105,2,38
105,3,75
106,0,178
106,1,135
106,2,39
106,3,76
107,0,226
107,1,134
107,2,38
107,3,75
108,0,178
108,1,127
108,2,39
108,3,76
109,0,177
109,1,134
109,2,38
109,3,219
110,0,178
110,1,135
110,2,39
110,3,76
111,0,226
111,1,134
111,2,38
111,3,75
112,0,178
112,1,135
112,2,39
112,3,77
113,0,177
113,1,134
113,2,38
113,3,75
114,0,178
114,1,135
114,2,39
114,3,77
115,0,177
115,1,134
115,2,38
115,3,150
116,0,178
116,1,135
116,2,39
116,3,147
117,0,226
117,1,134
117,2,38
117,3,151
118,0,178
118,1,135
118,2,39
118,3,148
119,0,177
119,1,134
119,2,38
119,3,144
120,0,178
120,1,135
120,2,39
120,3,147
