time_step,unit_id,node_id
0,0,179
0,1,234
1,0,177
1,1,0
2,0,178
2,1,234
3,0,177
3,1,0
4,0,178
4,1,126
5,0,226
5,1,125
6,0,178
6,1,126
7,0,226
7,1,125
8,0,178
8,1,126
9,0,177
9,1,125
10,0,178
10,1,127
11,0,226
11,1,134
12,0,178
12,1,135
13,0,177
13,1,134
14,0,178
14,1,127
15,0,177
15,1,134
16,0,178
16,1,135
17,0,177
17,1,134
18,0,178
18,1,135
19,0,226
19,1,134
20,0,178
20,1,135
21,0,177
21,1,134
22,0,178
22,1,135
23,0,226
23,1,134
24,0,178
24,1,135
25,0,177
25,1,134
26,0,178
26,1,135
27,0,226
27,1,134
28,0,178
28,1,135
29,0,226
29,1,134
30,0,178
30,1,135
31,0,177
31,1,134
32,0,178
32,1,135
33,0,177
33,1,134
34,0,178
34,1,135
35,0,226
35,1,134
36,0,178
36,1,135
37,0,226
37,1,134
38,0,178
38,1,135
39,0,177
39,1,134
40,0,178
40,1,135
41,0,177
41,1,134
42,0,178
42,1,135
43,0,226
43,1,134
44,0,178
44,1,135
45,0,226
45,1,134
46,0,178
46,1,135
47,0,177
47,1,134
48,0,178
48,1,135
49,0,226
49,1,134
50,0,178
50,1,135
51,0,226
51,1,134
52,0,178
52,1,127
53,0,177
53,1,134
54,0,178
54,1,135
55,0,177
55,1,134
56,0,178
56,1,127
57,0,226
57,1,134
58,0,178
58,1,135
59,0,226
59,1,134
60,0,178
60,1,135
61,0,226
61,1,134
62,0,178
62,1,135
63,0,177
63,1,134
64,0,178
64,1,135
65,0,226
65,1,134
66,0,178
66,1,135
67,0,177
67,1,134
68,0,178
68,1,135
69,0,226
69,1,134
70,0,178
70,1,135
71,0,226
71,1,134
72,0,178
72,1,127
73,0,226
73,1,134
74,0,178
74,1,127
75,0,226
75,1,134
76,0,178
76,1,127
77,0,177
77,1,134
78,0,178
78,1,127
79,0,226
79,1,134
80,0,178
80,1,135
81,0,226
81,1,134
82,0,178
82,1,127
83,0,226
83,1,134
84,0,178
84,1,135
85,0,226
85,1,134
86,0,178
86,1,135
87,0,177
87,1,134
88,0,178
88,1,135
89,0,177
89,1,134
90,0,178
90,1,135
91,0,177
91,1,134
92,0,178
92,1,135
93,0,226
93,1,134
94,0,178
94,1,135
95,0,226
95,1,134
96,0,178
96,1,135
97,0,177
97,1,134
98,0,178
98,1,135
99,0,177
99,1,134
100,0,178
100,1,135
101,0,177
101,1,134
102,0,178
102,1,135
103,0,177
103,1,134
104,0,178
104,1,135
105,0,226
105,1,134
106,0,178
106,1,135
107,0,226
107,1,134
108,0,178
108,1,135
109,0,177
109,1,134
110,0,178
110,1,135
111,0,226
111,1,134
112,0,178
112,1,135
113,0,177
113,1,134
114,0,178
114,1,135
115,0,226
115,1,134
116,0,178
116,1,135
117,0,177
117,1,134
118,0,178
118,1,135
119,0,177
119,1,134
120,0,178
120,1,135
