time_step,unit_id,node_id
0,0,179
0,1,234
0,2,221
0,3,13
0,4,60
1,0,199
1,1,0
1,2,193
1,3,190
1,4,63
2,0,200
2,1,234
2,2,221
2,3,17
2,4,66
3,0,236
3,1,0
3,2,193
3,3,190
3,4,70
4,0,235
4,1,1
4,2,221
4,3,17
4,4,183
5,0,236
5,1,132
5,2,193
5,3,190
5,4,70
6,0,200
6,1,1
6,2,221
6,3,14
6,4,97
7,0,199
7,1,132
7,2,193
7,3,155
7,4,94
8,0,200
8,1,24
8,2,165
8,3,152
8,4,97
9,0,201
9,1,20
9,2,192
9,3,155
9,4,70
10,0,200
10,1,19
10,2,166
10,3,14
10,4,97
11,0,201
11,1,20
11,2,192
11,3,11
11,4,94
12,0,188
12,1,24
12,2,166
12,3,8
12,4,97
13,0,187
13,1,132
13,2,192
13,3,6
13,4,94
14,0,162
14,1,24
14,2,166
14,3,9
14,4,97
15,0,161
15,1,20
15,2,192
15,3,124
15,4,70
16,0,162
16,1,23
16,2,166
16,3,9
16,4,97
17,0,130
17,1,22
17,2,42
17,3,124
17,4,70
18,0,128
18,1,137
18,2,94
18,3,9
18,4,183
19,0,129
19,1,136
19,2,97
19,3,124
19,4,70
20,0,93
20,1,127
20,2,94
20,3,9
20,4,97
21,0,129
21,1,125
21,2,97
21,3,124
21,4,94
22,0,128
22,1,21
22,2,70
22,3,9
22,4,97
23,0,129
23,1,125
23,2,183
23,3,6
23,4,224
24,0,128
24,1,127
24,2,76
24,3,9
24,4,97
25,0,130
25,1,134
25,2,219
25,3,124
25,4,70
26,0,162
26,1,59
26,2,76
26,3,9
26,4,97
27,0,161
27,1,57
27,2,183
27,3,6
27,4,70
28,0,162
28,1,59
28,2,76
28,3,8
28,4,97
29,0,161
29,1,57
29,2,75
29,3,151
29,4,224
30,0,162
30,1,58
30,2,78
30,3,147
30,4,97
31,0,130
31,1,62
31,2,75
31,3,144
31,4,94
32,0,163
32,1,135
32,2,76
32,3,143
32,4,97
33,0,130
33,1,139
33,2,219
33,3,144
33,4,224
34,0,163
34,1,65
34,2,76
34,3,147
34,4,97
35,0,130
35,1,60
35,2,183
35,3,151
35,4,224
36,0,128
36,1,63
36,2,76
36,3,147
36,4,97
37,0,129
37,1,67
37,2,75
37,3,151
37,4,224
38,0,128
38,1,70
38,2,76
38,3,147
38,4,97
39,0,129
39,1,97
39,2,183
39,3,149
39,4,70
40,0,128
40,1,94
40,2,70
40,3,185
40,4,97
41,0,129
41,1,97
41,2,97
41,3,151
41,4,94
42,0,93
42,1,70
42,2,70
42,3,147
42,4,97
43,0,129
43,1,97
43,2,183
43,3,151
43,4,94
44,0,128
44,1,94
44,2,72
44,3,147
44,4,97
45,0,129
45,1,97
45,2,183
45,3,149
45,4,94
46,0,128
46,1,70
46,2,70
46,3,153
46,4,97
47,0,129
47,1,97
47,2,97
47,3,186
47,4,94
48,0,128
48,1,94
48,2,70
48,3,77
48,4,97
49,0,130
49,1,97
49,2,97
49,3,74
49,4,70
50,0,162
50,1,70
50,2,94
50,3,72
50,4,97
51,0,161
51,1,183
51,2,97
51,3,75
51,4,224
52,0,162
52,1,76
52,2,70
52,3,78
52,4,97
53,0,130
53,1,183
53,2,97
53,3,79
53,4,70
54,0,163
54,1,70
54,2,70
54,3,78
54,4,97
55,0,130
55,1,183
55,2,97
55,3,79
55,4,94
56,0,163
56,1,76
56,2,224
56,3,81
56,4,97
57,0,130
57,1,219
57,2,97
57,3,79
57,4,94
58,0,128
58,1,76
58,2,70
58,3,81
58,4,97
59,0,129
59,1,183
59,2,183
59,3,79
59,4,70
60,0,128
60,1,70
60,2,76
60,3,81
60,4,183
61,0,130
61,1,183
61,2,75
61,3,79
61,4,72
62,0,128
62,1,70
62,2,72
62,3,81
62,4,183
63,0,130
63,1,97
63,2,183
63,3,79
63,4,76
64,0,128
64,1,70
64,2,76
64,3,81
64,4,219
65,0,129
65,1,97
65,2,183
65,3,79
65,4,76
66,0,128
66,1,70
66,2,76
66,3,78
66,4,75
67,0,129
67,1,183
67,2,183
67,3,79
67,4,76
68,0,128
68,1,70
68,2,72
68,3,81
68,4,75
69,0,129
69,1,97
69,2,74
69,3,79
69,4,76
70,0,93
70,1,70
70,2,215
70,3,81
70,4,219
71,0,129
71,1,97
71,2,150
71,3,79
71,4,76
72,0,128
72,1,94
72,2,215
72,3,78
72,4,219
73,0,129
73,1,97
73,2,150
73,3,227
73,4,76
74,0,128
74,1,70
74,2,77
74,3,78
74,4,219
75,0,130
75,1,97
75,2,150
75,3,79
75,4,76
76,0,128
76,1,224
76,2,153
76,3,81
76,4,227
77,0,130
77,1,97
77,2,149
77,3,86
77,4,78
78,0,163
78,1,224
78,2,152
78,3,81
78,4,75
79,0,130
79,1,97
79,2,154
79,3,86
79,4,72
80,0,163
80,1,94
80,2,152
80,3,81
80,4,183
81,0,130
81,1,97
81,2,155
81,3,86
81,4,76
82,0,162
82,1,94
82,2,14
82,3,81
82,4,183
83,0,130
83,1,97
83,2,11
83,3,79
83,4,70
84,0,128
84,1,94
84,2,7
84,3,78
84,4,183
85,0,130
85,1,97
85,2,6
85,3,75
85,4,76
86,0,162
86,1,224
86,2,7
86,3,76
86,4,75
87,0,130
87,1,97
87,2,6
87,3,219
87,4,76
88,0,162
88,1,70
88,2,8
88,3,76
88,4,75
89,0,161
89,1,183
89,2,151
89,3,183
89,4,77
90,0,162
90,1,76
90,2,148
90,3,76
90,4,150
91,0,130
91,1,219
91,2,214
91,3,183
91,4,153
92,0,128
92,1,76
92,2,8
92,3,76
92,4,149
93,0,129
93,1,75
93,2,11
93,3,219
93,4,152
94,0,93
94,1,77
94,2,8
94,3,76
94,4,154
95,0,129
95,1,150
95,2,214
95,3,219
95,4,153
96,0,128
96,1,147
96,2,148
96,3,76
96,4,150
97,0,129
97,1,150
97,2,214
97,3,75
97,4,215
98,0,128
98,1,77
98,2,148
98,3,78
98,4,150
99,0,129
99,1,186
99,2,144
99,3,75
99,4,147
100,0,128
100,1,78
100,2,143
100,3,77
100,4,150
101,0,129
101,1,75
101,2,144
101,3,150
101,4,77
102,0,128
102,1,78
102,2,215
102,3,77
102,4,75
103,0,129
103,1,75
103,2,144
103,3,150
103,4,76
104,0,128
104,1,77
104,2,143
104,3,147
104,4,219
105,0,129
105,1,75
105,2,144
105,3,144
105,4,76
106,0,128
106,1,76
106,2,148
106,3,215
106,4,75
107,0,129
107,1,75
107,2,151
107,3,150
107,4,77
108,0,93
108,1,76
108,2,147
108,3,147
108,4,150
109,0,88
109,1,227
109,2,144
109,3,144
109,4,153
110,0,85
110,1,78
110,2,148
110,3,147
110,4,150
111,0,88
111,1,75
111,2,151
111,3,150
111,4,147
112,0,85
112,1,77
112,2,185
112,3,147
112,4,149
113,0,88
113,1,74
113,2,149
113,3,149
113,4,147
114,0,93
114,1,215
114,2,153
114,3,153
114,4,149
115,0,129
115,1,74
115,2,150
115,3,150
115,4,153
116,0,128
116,1,73
116,2,153
116,3,77
116,4,149
117,0,129
117,1,74
117,2,150
117,3,74
117,4,147
118,0,128
118,1,72
118,2,215
118,3,72
118,4,149
119,0,130
119,1,75
119,2,150
119,3,74
119,4,152
120,0,163
120,1,77
120,2,77
120,3,215
120,4,149
