time_step,unit_id,node_id
0,0,172
0,1,49
1,0,173
1,1,53
2,0,172
2,1,49
3,0,171
3,1,53
4,0,41
4,1,55
5,0,45
5,1,56
6,0,200
6,1,201
7,0,244
7,1,56
8,0,44
8,1,55
9,0,42
9,1,57
10,0,45
10,1,242
11,0,199
11,1,201
12,0,200
12,1,56
13,0,45
13,1,201
14,0,41
14,1,56
15,0,40
15,1,201
16,0,41
16,1,56
17,0,40
17,1,201
18,0,41
18,1,242
19,0,171
19,1,57
20,0,172
20,1,242
21,0,171
21,1,57
22,0,170
22,1,52
23,0,169
23,1,51
24,0,168
24,1,48
25,0,43
25,1,49
26,0,40
26,1,48
27,0,43
27,1,50
28,0,40
28,1,0
29,0,42
29,1,50
30,0,40
30,1,0
31,0,41
31,1,1
32,0,171
32,1,0
33,0,41
33,1,50
34,0,174
34,1,0
35,0,173
35,1,1
36,0,175
36,1,0
37,0,176
37,1,251
38,0,175
38,1,0
39,0,173
39,1,1
40,0,174
40,1,0
41,0,41
41,1,50
42,0,40
42,1,212
43,0,41
43,1,50
44,0,40
44,1,0
45,0,41
45,1,127
46,0,40
46,1,126
47,0,41
47,1,128
48,0,40
48,1,126
49,0,42
49,1,127
50,0,45
50,1,0
51,0,200
51,1,50
52,0,199
52,1,212
53,0,45
53,1,54
54,0,200
54,1,52
55,0,45
55,1,57
56,0,42
56,1,242
57,0,45
57,1,54
58,0,200
58,1,212
59,0,199
59,1,54
60,0,91
60,1,52
61,0,227
61,1,51
62,0,119
62,1,212
63,0,227
63,1,54
64,0,91
64,1,212
65,0,227
65,1,50
66,0,227
66,1,48
67,0,91
67,1,49
68,0,227
68,1,53
69,0,227
69,1,49
70,0,227
70,1,48
71,0,119
71,1,49
72,0,227
72,1,53
73,0,227
73,1,52
74,0,91
74,1,57
75,0,227
75,1,242
76,0,91
76,1,201
77,0,86
77,1,242
78,0,85
78,1,201
79,0,86
79,1,242
80,0,89
80,1,54
81,0,113
81,1,212
82,0,158
82,1,51
83,0,109
83,1,52
84,0,107
84,1,53
85,0,109
85,1,49
86,0,181
86,1,48
87,0,105
87,1,50
88,0,181
88,1,0
89,0,224
89,1,127
90,0,181
90,1,0
91,0,105
91,1,251
92,0,181
92,1,0
93,0,109
93,1,251
94,0,181
94,1,0
95,0,109
95,1,50
96,0,158
96,1,0
97,0,113
97,1,127
98,0,158
98,1,21
99,0,113
99,1,133
100,0,89
100,1,21
101,0,86
101,1,23
102,0,89
102,1,21
103,0,86
103,1,127
104,0,90
104,1,21
105,0,86
105,1,24
106,0,91
106,1,21
107,0,227
107,1,133
108,0,91
108,1,26
109,0,86
109,1,22
110,0,89
110,1,26
111,0,113
111,1,28
112,0,89
112,1,54
113,0,86
113,1,242
114,0,90
114,1,54
115,0,92
115,1,52
116,0,90
116,1,54
117,0,86
117,1,28
118,0,89
118,1,26
119,0,86
119,1,22
120,0,89
120,1,25
