time_step,unit_id,node_id
0,0,179
0,1,234
0,2,221
0,3,13
0,4,60
1,0,199
1,1,0
1,2,193
1,3,16
1,4,63
2,0,179
2,1,234
2,2,221
2,3,17
2,4,66
3,0,199
3,1,0
3,2,193
3,3,213
3,4,63
4,0,202
4,1,1
4,2,221
4,3,180
4,4,68
5,0,199
5,1,132
5,2,193
5,3,108
5,4,63
6,0,179
6,1,1
6,2,221
6,3,180
6,4,66
7,0,177
7,1,132
7,2,193
7,3,213
7,4,63
8,0,178
8,1,19
8,2,165
8,3,131
8,4,67
9,0,177
9,1,20
9,2,192
9,3,213
9,4,70
10,0,178
10,1,19
10,2,166
10,3,103
10,4,97
11,0,226
11,1,20
11,2,192
11,3,18
11,4,94
12,0,178
12,1,23
12,2,166
12,3,16
12,4,97
13,0,177
13,1,20
13,2,164
13,3,13
13,4,94
14,0,178
14,1,24
14,2,41
14,3,190
14,4,42
15,0,226
15,1,20
15,2,167
15,3,14
15,4,166
16,0,178
16,1,19
16,2,41
16,3,11
16,4,42
17,0,177
17,1,20
17,2,38
17,3,14
17,4,94
18,0,178
18,1,23
18,2,39
18,3,155
18,4,96
19,0,177
19,1,25
19,2,38
19,3,152
19,4,94
20,0,178
20,1,27
20,2,39
20,3,149
20,4,42
21,0,226
21,1,30
21,2,173
21,3,153
21,4,94
22,0,178
22,1,33
22,2,39
22,3,150
22,4,96
23,0,177
23,1,31
23,2,170
23,3,77
23,4,99
24,0,178
24,1,33
24,2,169
24,3,150
24,4,230
25,0,226
25,1,214
25,2,168
25,3,147
25,4,99
26,0,178
26,1,8
26,2,167
26,3,144
26,4,96
27,0,226
27,1,11
27,2,41
27,3,143
27,4,94
28,0,178
28,1,14
28,2,38
28,3,144
28,4,97
29,0,226
29,1,155
29,2,39
29,3,148
29,4,224
30,0,178
30,1,14
30,2,43
30,3,144
30,4,229
31,0,177
31,1,190
31,2,39
31,3,147
31,4,224
32,0,179
32,1,17
32,2,38
32,3,150
32,4,97
33,0,199
33,1,190
33,2,40
33,3,153
33,4,224
34,0,200
34,1,13
34,2,38
34,3,149
34,4,97
35,0,201
35,1,10
35,2,39
35,3,185
35,4,224
36,0,226
36,1,13
36,2,43
36,3,149
36,4,97
37,0,178
37,1,190
37,2,196
37,3,152
37,4,224
38,0,226
38,1,14
38,2,228
38,3,149
38,4,97
39,0,178
39,1,11
39,2,196
39,3,153
39,4,70
40,0,177
40,1,7
40,2,43
40,3,186
40,4,97
41,0,178
41,1,11
41,2,40
41,3,77
41,4,94
42,0,177
42,1,14
42,2,38
42,3,75
42,4,96
43,0,179
43,1,11
43,2,40
43,3,77
43,4,94
44,0,199
44,1,8
44,2,38
44,3,186
44,4,95
45,0,179
45,1,151
45,2,39
45,3,153
45,4,94
46,0,199
46,1,147
46,2,38
46,3,149
46,4,95
47,0,202
47,1,151
47,2,39
47,3,185
47,4,94
48,0,116
48,1,185
48,2,38
48,3,151
48,4,97
49,0,114
49,1,11
49,2,39
49,3,8
49,4,70
50,0,115
50,1,14
50,2,38
50,3,6
50,4,97
51,0,118
51,1,190
51,2,40
51,3,9
51,4,224
52,0,117
52,1,14
52,2,38
52,3,124
52,4,97
53,0,2
53,1,10
53,2,39
53,3,208
53,4,70
54,0,117
54,1,7
54,2,170
54,3,124
54,4,97
55,0,118
55,1,12
55,2,39
55,3,208
55,4,94
56,0,115
56,1,184
56,2,173
56,3,124
56,4,96
57,0,114
57,1,15
57,2,195
57,3,9
57,4,94
58,0,92
58,1,18
58,2,196
58,3,6
58,4,97
59,0,218
59,1,15
59,2,195
59,3,7
59,4,70
60,0,93
60,1,13
60,2,90
60,3,12
60,4,183
61,0,129
61,1,190
61,2,85
61,3,7
61,4,72
62,0,93
62,1,13
62,2,84
62,3,11
62,4,69
63,0,129
63,1,10
63,2,82
63,3,7
63,4,73
64,0,93
64,1,13
64,2,83
64,3,12
64,4,74
65,0,88
65,1,10
65,2,80
65,3,7
65,4,73
66,0,111
66,1,14
66,2,83
66,3,6
66,4,71
67,0,113
67,1,190
67,2,80
67,3,9
67,4,73
68,0,110
68,1,13
68,2,79
68,3,124
68,4,71
69,0,107
69,1,15
69,2,81
69,3,9
69,4,73
70,0,106
70,1,13
70,2,79
70,3,124
70,4,74
71,0,107
71,1,10
71,2,80
71,3,9
71,4,215
72,0,157
72,1,7
72,2,186
72,3,6
72,4,144
73,0,112
73,1,12
73,2,78
73,3,8
73,4,148
74,0,109
74,1,7
74,2,227
74,3,151
74,4,151
75,0,107
75,1,6
75,2,78
75,3,147
75,4,8
76,0,109
76,1,9
76,2,79
76,3,150
76,4,214
77,0,107
77,1,6
77,2,82
77,3,147
77,4,148
78,0,157
78,1,9
78,2,79
78,3,144
78,4,151
79,0,112
79,1,6
79,2,78
79,3,148
79,4,8
80,0,157
80,1,8
80,2,75
80,3,214
80,4,6
81,0,107
81,1,151
81,2,72
81,3,148
81,4,9
82,0,110
82,1,185
82,2,183
82,3,151
82,4,6
83,0,113
83,1,151
83,2,70
83,3,8
83,4,7
84,0,83
84,1,8
84,2,66
84,3,6
84,4,11
85,0,87
85,1,151
85,2,70
85,3,7
85,4,14
86,0,83
86,1,148
86,2,66
86,3,12
86,4,11
87,0,82
87,1,151
87,2,69
87,3,7
87,4,8
88,0,83
88,1,147
88,2,72
88,3,11
88,4,11
89,0,113
89,1,149
89,2,75
89,3,7
89,4,7
90,0,83
90,1,153
90,2,78
90,3,12
90,4,12
91,0,82
91,1,149
91,2,75
91,3,7
91,4,184
92,0,79
92,1,147
92,2,72
92,3,11
92,4,15
93,0,78
93,1,150
93,2,74
93,3,14
93,4,13
94,0,75
94,1,77
94,2,73
94,3,190
94,4,15
95,0,77
95,1,150
95,2,74
95,3,17
95,4,18
96,0,150
96,1,147
96,2,77
96,3,213
96,4,16
97,0,215
97,1,150
97,2,74
97,3,180
97,4,13
98,0,150
98,1,77
98,2,77
98,3,108
98,4,16
99,0,77
99,1,186
99,2,150
99,3,157
99,4,18
100,0,75
100,1,78
100,2,77
100,3,112
100,4,16
101,0,77
101,1,75
101,2,75
101,3,157
101,4,13
102,0,150
102,1,78
102,2,72
102,3,112
102,4,16
103,0,215
103,1,75
103,2,75
103,3,157
103,4,17
104,0,144
104,1,77
104,2,77
104,3,108
104,4,213
105,0,147
105,1,75
105,2,74
105,3,180
105,4,17
106,0,150
106,1,76
106,2,77
106,3,104
106,4,190
107,0,215
107,1,75
107,2,186
107,3,17
107,4,13
108,0,74
108,1,76
108,2,153
108,3,104
108,4,190
109,0,72
109,1,227
109,2,154
109,3,180
109,4,156
110,0,69
110,1,78
110,2,153
110,3,213
110,4,190
111,0,73
111,1,75
111,2,150
111,3,180
111,4,17
112,0,69
112,1,77
112,2,77
112,3,213
112,4,213
113,0,73
113,1,74
113,2,150
113,3,180
113,4,180
114,0,74
114,1,215
114,2,153
114,3,108
114,4,108
115,0,77
115,1,145
115,2,150
115,3,157
115,4,180
116,0,75
116,1,141
116,2,153
116,3,107
116,4,108
117,0,72
117,1,145
117,2,150
117,3,106
117,4,180
118,0,183
118,1,71
118,2,215
118,3,105
118,4,108
119,0,76
119,1,145
119,2,150
119,3,106
119,4,157
