time_step,unit_id,node_id
0,0,179
0,1,234
0,2,221
1,0,199
1,1,0
1,2,193
2,0,179
2,1,234
2,2,165
3,0,177
3,1,0
3,2,192
4,0,178
4,1,48
4,2,191
5,0,226
5,1,50
5,2,96
6,0,178
6,1,48
6,2,191
7,0,226
7,1,50
7,2,192
8,0,178
8,1,53
8,2,165
9,0,177
9,1,51
9,2,164
10,0,179
10,1,49
10,2,166
11,0,177
11,1,51
11,2,164
12,0,178
12,1,53
12,2,166
13,0,226
13,1,51
13,2,192
14,0,178
14,1,52
14,2,191
15,0,226
15,1,47
15,2,193
16,0,178
16,1,46
16,2,191
17,0,177
17,1,47
17,2,193
18,0,178
18,1,52
18,2,191
19,0,177
19,1,47
19,2,193
20,0,178
20,1,46
20,2,191
21,0,177
21,1,48
21,2,193
22,0,5
22,1,0
22,2,165
23,0,44
23,1,1
23,2,192
24,0,5
24,1,132
24,2,191
25,0,44
25,1,19
25,2,193
26,0,5
26,1,132
26,2,191
27,0,4
27,1,1
27,2,194
28,0,3
28,1,0
28,2,221
29,0,4
29,1,234
29,2,193
30,0,3
30,1,0
30,2,221
31,0,2
31,1,126
31,2,194
32,0,117
32,1,0
32,2,99
33,0,116
33,1,1
33,2,194
34,0,117
34,1,132
34,2,191
35,0,116
35,1,24
35,2,96
36,0,202
36,1,20
36,2,94
37,0,2
37,1,24
37,2,97
38,0,202
38,1,26
38,2,94
39,0,199
39,1,24
39,2,96
40,0,179
40,1,26
40,2,99
41,0,199
41,1,29
41,2,194
42,0,179
42,1,26
42,2,221
43,0,177
43,1,24
43,2,193
44,0,178
44,1,20
44,2,165
45,0,177
45,1,19
45,2,193
46,0,178
46,1,20
46,2,165
47,0,226
47,1,23
47,2,192
48,0,178
48,1,22
48,2,165
49,0,226
49,1,137
49,2,164
50,0,201
50,1,138
50,2,165
51,0,226
51,1,140
51,2,164
52,0,178
52,1,141
52,2,165
53,0,226
53,1,145
53,2,193
54,0,178
54,1,143
54,2,165
55,0,226
55,1,144
55,2,192
56,0,201
56,1,215
56,2,191
57,0,200
57,1,74
57,2,193
58,0,199
58,1,73
58,2,191
59,0,200
59,1,71
59,2,194
60,0,236
60,1,73
60,2,99
61,0,235
61,1,74
61,2,230
62,0,189
62,1,77
62,2,102
63,0,163
63,1,186
63,2,205
64,0,130
64,1,78
64,2,101
65,0,128
65,1,79
65,2,205
66,0,129
66,1,78
66,2,101
67,0,93
67,1,227
67,2,100
68,0,129
68,1,76
68,2,98
69,0,93
69,1,183
69,2,230
70,0,218
70,1,72
70,2,223
71,0,189
71,1,183
71,2,204
72,0,163
72,1,70
72,2,231
73,0,130
73,1,97
73,2,232
74,0,163
74,1,70
74,2,233
75,0,130
75,1,183
75,2,232
76,0,163
76,1,76
76,2,231
77,0,189
77,1,219
77,2,204
78,0,163
78,1,76
78,2,102
79,0,130
79,1,75
79,2,230
80,0,162
80,1,77
80,2,102
81,0,161
81,1,74
81,2,205
82,0,162
82,1,77
82,2,102
83,0,161
83,1,74
83,2,100
84,0,162
84,1,73
84,2,102
85,0,161
85,1,74
85,2,204
86,0,162
86,1,215
86,2,203
87,0,187
87,1,74
87,2,205
88,0,162
88,1,72
88,2,203
89,0,161
89,1,75
89,2,205
90,0,162
90,1,72
90,2,102
91,0,187
91,1,75
91,2,230
92,0,188
92,1,77
92,2,223
93,0,201
93,1,150
93,2,204
94,0,200
94,1,77
94,2,231
95,0,201
95,1,74
95,2,232
96,0,226
96,1,77
96,2,233
97,0,178
97,1,186
97,2,232
98,0,177
98,1,153
98,2,206
99,0,178
99,1,150
99,2,203
100,0,226
100,1,153
100,2,206
101,0,201
101,1,149
101,2,203
102,0,226
102,1,147
102,2,205
103,0,178
103,1,151
103,2,203
104,0,177
104,1,147
104,2,205
105,0,5
105,1,151
105,2,203
106,0,4
106,1,185
106,2,204
107,0,5
107,1,149
107,2,223
108,0,4
108,1,185
108,2,194
109,0,3
109,1,151
109,2,221
110,0,4
110,1,8
110,2,193
111,0,3
111,1,151
111,2,191
112,0,4
112,1,147
112,2,192
113,0,3
113,1,150
113,2,191
114,0,2
114,1,77
114,2,96
115,0,3
115,1,74
115,2,99
116,0,2
116,1,215
116,2,96
117,0,3
117,1,144
117,2,99
118,0,2
118,1,143
118,2,230
119,0,3
119,1,144
119,2,99
