time_step,unit_id,node_id
0,0,172
0,1,49
0,2,2
0,3,214
0,4,15
1,0,173
1,1,53
1,2,3
1,3,215
1,4,18
2,0,172
2,1,49
2,2,210
2,3,247
2,4,15
3,0,173
3,1,53
3,2,192
3,3,239
3,4,13
4,0,174
4,1,49
4,2,193
4,3,247
4,4,16
5,0,173
5,1,53
5,2,232
5,3,239
5,4,13
6,0,172
6,1,49
6,2,233
6,3,240
6,4,15
7,0,171
7,1,53
7,2,232
7,3,215
7,4,13
8,0,170
8,1,49
8,2,233
8,3,247
8,4,16
9,0,171
9,1,48
9,2,232
9,3,215
9,4,156
10,0,170
10,1,49
10,2,193
10,3,240
10,4,16
11,0,169
11,1,48
11,2,232
11,3,246
11,4,14
12,0,168
12,1,49
12,2,193
12,3,100
12,4,10
13,0,43
13,1,48
13,2,232
13,3,96
13,4,9
14,0,40
14,1,49
14,2,193
14,3,241
14,4,10
15,0,43
15,1,48
15,2,232
15,3,98
15,4,13
16,0,40
16,1,49
16,2,193
16,3,95
16,4,10
17,0,41
17,1,48
17,2,187
17,3,98
17,4,9
18,0,40
18,1,49
18,2,8
18,3,71
18,4,12
19,0,41
19,1,53
19,2,187
19,3,184
19,4,9
20,0,40
20,1,49
20,2,8
20,3,77
20,4,10
21,0,42
21,1,48
21,2,192
21,3,234
21,4,9
22,0,40
22,1,49
22,2,8
22,3,77
22,4,12
23,0,41
23,1,53
23,2,192
23,3,76
23,4,125
24,0,40
24,1,55
24,2,8
24,3,79
24,4,123
25,0,42
25,1,56
25,2,192
25,3,186
25,4,125
26,0,40
26,1,55
26,2,210
26,3,81
26,4,12
27,0,42
27,1,56
27,2,3
27,3,80
27,4,125
28,0,40
28,1,201
28,2,210
28,3,82
28,4,12
29,0,43
29,1,242
29,2,192
29,3,87
29,4,125
30,0,165
30,1,54
30,2,193
30,3,83
30,4,219
31,0,43
31,1,242
31,2,192
31,3,84
31,4,125
32,0,168
32,1,201
32,2,8
32,3,114
32,4,12
33,0,169
33,1,242
33,2,192
33,3,111
33,4,125
34,0,170
34,1,54
34,2,8
34,3,153
34,4,12
35,0,169
35,1,28
35,2,187
35,3,156
35,4,125
36,0,168
36,1,26
36,2,191
36,3,153
36,4,12
37,0,43
37,1,22
37,2,188
37,3,155
37,4,125
38,0,40
38,1,25
38,2,190
38,3,154
38,4,12
39,0,41
39,1,22
39,2,164
39,3,150
39,4,125
40,0,40
40,1,21
40,2,131
40,3,185
40,4,12
41,0,41
41,1,23
41,2,163
41,3,152
41,4,9
42,0,40
42,1,126
42,2,131
42,3,148
42,4,12
43,0,43
43,1,127
43,2,164
43,3,152
43,4,9
44,0,165
44,1,0
44,2,131
44,3,148
44,4,12
45,0,167
45,1,127
45,2,129
45,3,150
