time_step,unit_id,node_id
0,0,216
0,1,220
0,2,201
0,3,44
0,4,37
1,0,216
1,1,219
1,2,188
1,3,45
1,4,35
2,0,216
2,1,76
2,2,201
2,3,119
2,4,36
3,0,216
3,1,227
3,2,188
3,3,176
3,4,35
4,0,115
4,1,76
4,2,201
4,3,175
4,4,37
5,0,216
5,1,219
5,2,188
5,3,174
5,4,35
6,0,216
6,1,76
6,2,201
6,3,175
6,4,36
7,0,115
7,1,219
7,2,188
7,3,174
7,4,35
8,0,118
8,1,220
8,2,201
8,3,175
8,4,37
9,0,217
9,1,219
9,2,200
9,3,176
9,4,120
10,0,217
10,1,76
10,2,199
10,3,119
10,4,37
11,0,217
11,1,75
11,2,200
11,3,45
11,4,35
12,0,90
12,1,76
12,2,199
12,3,44
12,4,36
13,0,195
13,1,183
13,2,179
13,3,5
13,4,35
14,0,43
14,1,76
14,2,177
14,3,44
14,4,36
15,0,195
15,1,75
15,2,179
15,3,45
15,4,209
16,0,173
16,1,77
16,2,177
16,3,117
16,4,36
17,0,39
17,1,75
17,2,5
17,3,116
17,4,209
18,0,38
18,1,76
18,2,4
18,3,202
18,4,211
19,0,39
19,1,227
19,2,3
19,3,199
19,4,209
20,0,38
20,1,78
20,2,2
20,3,200
20,4,36
21,0,40
21,1,75
21,2,202
21,3,236
21,4,35
22,0,43
22,1,76
22,2,116
22,3,235
22,4,37
23,0,40
23,1,219
23,2,114
23,3,189
23,4,120
24,0,38
24,1,220
24,2,115
24,3,235
24,4,121
25,0,40
25,1,219
25,2,216
25,3,236
25,4,120
26,0,43
26,1,76
26,2,115
26,3,200
26,4,37
27,0,196
27,1,75
27,2,114
27,3,199
27,4,120
28,0,228
28,1,76
28,2,115
28,3,179
28,4,37
29,0,220
29,1,75
29,2,118
29,3,199
29,4,120
30,0,219
30,1,72
30,2,115
30,3,200
30,4,121
31,0,76
31,1,75
31,2,114
31,3,201
31,4,120
32,0,219
32,1,78
32,2,115
32,3,188
32,4,37
33,0,220
33,1,227
33,2,216
33,3,201
33,4,120
34,0,219
34,1,76
34,2,115
34,3,200
34,4,37
35,0,76
35,1,183
35,2,114
35,3,199
35,4,120
36,0,183
36,1,72
36,2,116
36,3,200
36,4,37
37,0,70
37,1,74
37,2,202
37,3,199
37,4,120
38,0,97
38,1,215
38,2,116
38,3,200
38,4,37
39,0,228
39,1,74
39,2,117
39,3,236
39,4,120
40,0,97
40,1,73
40,2,45
40,3,235
40,4,37
41,0,228
41,1,74
41,2,44
41,3,189
41,4,35
42,0,42
42,1,215
42,2,5
42,3,163
42,4,37
43,0,228
43,1,74
43,2,177
43,3,130
43,4,35
44,0,97
44,1,73
44,2,178
44,3,159
44,4,37
45,0,70
45,1,74
45,2,177
45,3,161
45,4,35
46,0,183
46,1,215
46,2,5
46,3,159
46,4,37
47,0,70
47,1,74
47,2,177
47,3,160
47,4,35
48,0,97
48,1,73
48,2,178
48,3,36
48,4,37
49,0,224
49,1,69
49,2,226
49,3,35
49,4,120
50,0,97
50,1,72
50,2,178
50,3,36
50,4,37
51,0,228
51,1,75
51,2,226
51,3,209
51,4,120
52,0,42
52,1,76
52,2,178
52,3,211
52,4,37
53,0,94
53,1,183
53,2,177
53,3,212
53,4,120
54,0,95
54,1,70
54,2,178
54,3,211
54,4,37
55,0,224
55,1,183
55,2,177
55,3,212
55,4,35
56,0,229
56,1,76
56,2,179
56,3,211
56,4,37
57,0,224
57,1,219
57,2,199
57,3,209
57,4,35
58,0,97
58,1,220
58,2,179
58,3,210
58,4,37
59,0,228
59,1,228
59,2,199
59,3,36
59,4,120
60,0,196
60,1,42
60,2,200
60,3,210
60,4,121
61,0,195
61,1,166
61,2,199
61,3,36
61,4,120
62,0,43
62,1,42
62,2,202
62,3,209
62,4,37
63,0,196
63,1,40
63,2,2
63,3,36
63,4,120
64,0,43
64,1,38
64,2,117
64,3,210
64,4,121
65,0,39
65,1,39
65,2,2
65,3,36
65,4,120
66,0,170
66,1,173
66,2,117
66,3,160
66,4,37
67,0,39
67,1,172
67,2,2
67,3,131
67,4,120
68,0,173
68,1,173
68,2,3
68,3,128
68,4,37
69,0,39
69,1,39
69,2,2
69,3,129
69,4,120
70,0,38
70,1,170
70,2,3
70,3,128
70,4,121
71,0,40
71,1,39
71,2,2
71,3,130
71,4,123
72,0,43
72,1,38
72,2,3
72,3,162
72,4,122
73,0,39
73,1,41
73,2,4
73,3,161
73,4,123
74,0,170
74,1,164
74,2,3
74,3,159
74,4,122
75,0,169
75,1,41
75,2,4
75,3,158
75,4,124
76,0,170
76,1,167
76,2,5
76,3,159
76,4,122
77,0,171
77,1,41
77,2,44
77,3,158
77,4,123
78,0,172
78,1,167
78,2,5
78,3,159
78,4,121
79,0,173
79,1,41
79,2,4
79,3,161
79,4,120
80,0,172
80,1,38
80,2,3
80,3,162
80,4,37
81,0,171
81,1,41
81,2,2
81,3,187
81,4,120
82,0,170
82,1,38
82,2,3
82,3,189
82,4,37
83,0,39
83,1,39
83,2,2
83,3,163
83,4,35
84,0,38
84,1,38
84,2,3
84,3,130
84,4,37
85,0,41
85,1,41
85,2,2
85,3,128
85,4,120
86,0,164
86,1,167
86,2,3
86,3,131
86,4,37
87,0,41
87,1,168
87,2,2
87,3,128
87,4,120
88,0,38
88,1,169
88,2,3
88,3,130
88,4,37
89,0,39
89,1,168
89,2,4
89,3,128
89,4,35
90,0,38
90,1,169
90,2,5
90,3,131
90,4,37
91,0,39
91,1,168
91,2,4
91,3,213
91,4,120
92,0,38
92,1,169
92,2,3
92,3,180
92,4,121
93,0,39
93,1,170
93,2,2
93,3,108
93,4,120
94,0,38
94,1,39
94,2,3
94,3,180
94,4,37
95,0,40
95,1,43
95,2,4
95,3,108
95,4,120
96,0,42
96,1,196
96,2,5
96,3,180
96,4,37
97,0,40
97,1,43
97,2,4
97,3,213
97,4,35
98,0,43
98,1,40
98,2,5
98,3,131
98,4,37
99,0,39
99,1,43
99,2,44
99,3,160
99,4,120
100,0,38
100,1,40
100,2,5
100,3,103
100,4,121
